lambda,K,N,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,5,G0,run70_u0065099.log,20.77499665,36.0,19378.970766,0.449056,99.99768276651312,27.02471,2.075379e-06,99.99999232043933,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.92836429,4.96327991,-29.85665631,0.0,0.0,0.0,2.79004914,-2.2915228,0.30851088,0.0,0.0,0.07163571,-0.03672009,-10.85665631,0.0,0.0,0.0,-7.20995086,-2.2915228,0.30851088
LM_normal,1,5,G1,run71_u0065004.log,19.67765179,34.0,7271.860497,0.478687,99.9934172692092,9.332315,9.438862e-07,99.99998988583005,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.96143085,2.03811399,-5.50155537,0.0,0.0,0.0,0.97146059,-2.09847947,0.97550514,0.0,0.0,0.03856915,0.03811399,9.49844463,0.0,0.0,0.0,-7.02853941,-2.09847947,0.97550514
LM_normal,1,5,G2,run72_u0065007.log,32.83414571,33.0,43421.663329,1.590226,99.99633771284174,59.07794,4.118481e-06,99.99999302873289,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-14.03845597,7.10227911,-47.41440712,0.0,0.0,0.0,7.86702193,-1.54021871,-0.51036476,0.0,0.0,-0.03845597,-0.89772089,-25.41440712,0.0,0.0,0.0,-4.43297826,-1.54021871,-0.51036476
LM_normal,1,5,G3,run73_u0065009.log,33.22968581,35.0,17871.933706,2.040255,99.98858402770756,36.69211,3.466713e-06,99.99999055188432,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.85172293,5.90241953,-39.07799283,0.0,0.0,0.0,0.269146,-4.33887604,0.73610502,0.0,0.0,0.14827707,-0.09758047,-14.07799283,0.0,0.0,0.0,-13.83085438,-4.33887604,0.73610502
LM_normal,1,5,G4,run74_u0065014.log,10.49444475,24.0,33222.680886,0.273916,99.99917551506171,14.10879,8.005362e-07,99.99999432597549,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.93883215,3.01094834,-10.65814764,0.0,0.0,0.0,-2.38123832,-1.66065014,0.73858779,0.0,0.0,0.06116785,0.01094834,2.34185236,0.0,0.0,0.0,-5.68123827,-1.66065014,0.73858779
LM_normal,1,6,G0,run105_u0065031.log,32.45472462,35.0,23231.592281,0.950312,99.99590939790735,11.67053,4.759457e-06,99.9999592181589,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.89229151,5.0756009,-0.40717803,0.0,0.0,0.0,0.57505353,-2.77479679,1.47885,0.0,0.0,0.10770849,0.0756009,18.59282197,0.0,0.0,0.0,-9.42494647,-2.77479679,1.47885
LM_normal,1,6,G1,run106_u0065034.log,47.691503850000004,31.0,8713.002943,0.945298,99.98915072098352,28.47172,7.57168e-06,99.99997340631336,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.0295913,2.11764287,19.10830845,0.0,0.0,0.0,-0.98839185,-2.45960439,1.98796499,0.0,0.0,-0.0295913,0.11764287,34.10830845,0.0,0.0,0.0,-8.98839185,-2.45960439,1.98796499
LM_normal,1,6,G2,run107_u0065037.log,45.50283904,35.0,52108.330337,3.536801,99.9932125996417,17.17875,9.034898e-06,99.99994740654589,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.8096693,9.16684986,11.06678487,0.0,0.0,0.0,4.9255303,-2.09641975,1.60798397,0.0,0.0,0.1903307,1.16684986,33.06678487,0.0,0.0,0.0,-7.37446989,-2.09641975,1.60798397
LM_normal,1,6,G3,run108_u0065046.log,36.41345518,33.0,21448.313151,3.443386,99.98394565588558,14.01793,7.221867e-06,99.99994848121655,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.8219924,6.08333597,-12.62786119,0.0,0.0,0.0,-2.67848629,-5.07423428,1.92725185,0.0,0.0,0.1780076,0.08333597,12.37213881,0.0,0.0,0.0,-16.77848667,-5.07423428,1.92725185
LM_normal,1,6,G4,run109_u0065047.log,28.06994953,31.0,39923.630232,0.48617,99.99878225001791,12.76146,2.752979e-06,99.99997842739779,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.9726726,3.03444237,6.61417187,0.0,0.0,0.0,-2.33470448,-1.4841733,1.27513016,0.0,0.0,0.0273274,0.03444237,19.61417187,0.0,0.0,0.0,-5.63470443,-1.4841733,1.27513016
