Phantom already exists, skipping: cuboid_phantom_4_normal.npy

################################################################################
Running cuboid=normal scenario=G1 N_ANGLES=180, K=4
view   0 | SOD= 565.750 mm | SDD= 721.227 mm | M= 1.275 | incident=3.3432°
[[  57.21255    -562.1528      -28.        ]
 [ -18.490114    153.9744       12.        ]
 [   0.14903073    0.0130385     0.        ]
 [   0.            0.            0.1496    ]]
               x1        y1  area1          x2       y2  area2          x3         y3  area3          x4         y4  area4
range  313.216358  0.634978  101.0  120.285097  4.13769   87.0  281.895176  18.528429  176.0  313.252805  30.285189   86.0
FAILURE!!!! Some beads might have been misidentified
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
0    proj_000.png  542.362374  120.873737    792  437.981183  273.536290    744  566.587482  419.483642    703  542.366197  595.462228    781
1    proj_001.png  536.927757  120.932826    789  438.558140  273.489740    731  570.608262  419.636752    702  536.948718  595.629487    780
2    proj_002.png  531.407500  120.830000    800  439.325613  273.401907    734  574.705797  419.886957    690  531.420655  595.682620    794
3    proj_003.png  525.981132  120.928302    795  439.921409  273.291328    738  578.675400  420.007278    687  525.984713  595.884076    785
4    proj_004.png  520.346964  120.873606    807  440.746289  273.269906    741  582.613372  420.081395    688  520.355781  595.941550    787
5    proj_005.png  514.861768  120.922790    803  441.618725  273.219810    737  586.241935  420.369501    682  514.768061  596.001267    789
6    proj_006.png  509.082921  120.884901    808  442.493207  273.129076    736  589.986957  420.608696    690  509.183648  596.061635    795
7    proj_007.png  503.500000  120.822222    810  443.314939  273.039031    743  593.492041  420.832127    691  503.553885  596.155388    798
8    proj_008.png  497.827757  120.874845    807  444.408276  272.984828    725  596.980769  421.010355    676  497.847415  596.073140    793
9    proj_009.png  492.306931  120.862624    808  445.536451  272.924347    727  600.291121  421.235808    687  492.244924  596.109137    788
10   proj_010.png  486.607362  120.874847    815  446.798103  272.920054    738  603.471182  421.501441    694  486.586550  596.171856    803
11   proj_011.png  480.983911  120.910891    808  447.929919  272.776280    742  606.573888  421.718795    697  480.917189  596.086575    797
12   proj_012.png  475.397770  120.946716    807  449.102703  272.718919    740  609.517986  421.988489    695  475.358040  596.092965    796
13   proj_013.png  469.723192  120.915212    802  450.497954  272.582538    733  612.297842  422.162590    695  469.774275  596.023960    793
14   proj_014.png  464.260377  120.900629    795  451.946866  272.618529    734  615.000000  422.500000    694  464.184343  595.994949    792
15   proj_015.png  458.704403  120.857862    795  453.295640  272.598093    734  617.570613  422.787447    701  458.703657  595.804540    793
16   proj_016.png  453.235369  120.928753    786  454.665742  272.518724    721  619.934498  423.033479    687  453.238882  595.736976    787
17   proj_017.png  447.915404  120.970960    792  456.344262  272.482240    732  622.190948  423.332390    707  447.826196  595.653652    794
18   proj_018.png  442.530740  120.917189    797  457.766532  272.483131    741  624.308782  423.558074    706  442.500000  595.500000    800
19   proj_019.png  437.219697  120.943182    792  459.443073  272.488340    729  626.336158  423.830508    708  437.254408  595.235516    794
20   proj_020.png  432.084810  120.970886    790  461.168937  272.363760    734  628.131469  424.209790    715  432.059343  595.030303    792
21   proj_021.png  426.969811  120.982390    795  462.797279  272.351020    735  629.663889  424.443056    720  426.983770  594.825218    801
22   proj_022.png  421.970923  120.938053    791  464.599179  272.326949    731  631.269819  424.720445    719  421.946768  594.609632    789
23   proj_023.png  417.062420  120.891720    785  466.433287  272.292985    727  632.561798  425.120787    712  417.039490  594.313376    785
24   proj_024.png  412.256671  120.952986    787  468.229932  272.209524    735  633.655556  425.430556    720  412.212389  594.042984    791
25   proj_025.png  407.542351  120.890013    791  470.070461  272.250678    738  634.655556  425.647222    720  407.520151  593.760705    794
26   proj_026.png  402.927665  120.953046    788  471.966079  272.199457    737  635.535813  426.020661    726  402.986058  593.446134    789
27   proj_027.png  398.514539  120.922882    791  473.877717  272.163043    736  636.210670  426.365253    731  398.512723  593.195929    786
28   proj_028.png  394.219108  120.887898    785  475.833333  272.137978    732  636.686301  426.669863    730  394.166455  592.829733    787
29   proj_029.png  390.000000  120.885204    784  477.845628  272.121585    732  637.014885  426.962111    739  389.974555  592.430025    786
30   proj_030.png  385.912484  120.888031    777  479.815574  272.049180    732  637.152174  427.315217    736  385.953964  592.075448    782
31   proj_031.png  382.017903  120.847826    782  481.827211  272.008163    735  637.109459  427.585135    740  382.019206  591.664533    781
32   proj_032.png  378.329082  120.877551    784  483.875507  272.013532    739  636.952000  427.965333    750  378.258228  591.344304    790
33   proj_033.png  374.618438  120.839949    781  485.903270  272.010899    734  636.690160  428.207447    752  374.584399  590.969309    782
34   proj_034.png  371.246154  120.839744    780  487.972490  271.988996    727  636.057181  428.671543    752  371.194373  590.438619    782
35   proj_035.png  367.950904  120.788114    774  490.000000  272.000000    725  635.431217  428.892857    756  367.955013  590.035990    778
36   proj_036.png  364.886452  120.819355    775  492.097796  271.988981    726  634.536842  429.164474    760  364.866496  589.578947    779
37   proj_037.png  361.879064  120.812744    769  494.212121  271.971074    726  633.564581  429.616511    751  361.865110  589.138781    771
38   proj_038.png  359.055917  120.789337    769  496.223901  271.931319    728  632.295515  429.858839    758  359.058290  588.680052    772
39   proj_039.png  356.499353  120.826649    773  498.251710  271.980848    731  630.971354  430.194010    768  356.460948  588.185659    781
40   proj_040.png  354.000000  120.744792    768  500.313187  271.973901    728  629.287402  430.576115    762  354.053109  587.729275    772
41   proj_041.png  351.794538  120.784135    769  502.416552  271.979310    725  627.662745  430.874510    765  351.864935  587.187013    770
42   proj_042.png  349.776042  120.776042    768  504.456552  271.954483    725  625.813316  431.099217    766  349.778934  586.712614    769
43   proj_043.png  347.879739  120.730719    765  506.546080  272.015131    727  623.836601  431.381699    765  347.897135  586.196615    768
44   proj_044.png  346.146405  120.751634    765  508.558743  272.005464    732  621.567532  431.788312    770  346.158854  585.738281    768
45   proj_045.png  344.741765  120.785244    759  510.577080  272.015007    733  619.113281  431.953125    768  344.763469  585.172142    761
46   proj_046.png  343.353175  120.796296    756  512.574352  272.038199    733  616.612036  432.257362    781  343.424603  584.761905    756
47   proj_047.png  342.288360  120.751323    756  514.561475  272.054645    732  613.923871  432.581935    775  342.350066  584.190225    757
48   proj_048.png  341.372523  120.805812    757  516.562500  272.051630    736  611.049936  432.838668    781  341.389696  583.725231    757
