lambda,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,6,12,G1,run11_u0065085.log,27.07335303,33,15894.222794,0.79182,99.99501818987777,31.37067,3.850971e-06,99.9999877242947,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.87758109,-5.97497631,-27.13953225,0.0,0.0,0.0,13.29843869,2.47734326,-1.01059623,0.0,0.0,0.12241891,0.02502369,-15.13953225,0.0,0.0,0.0,8.29843869,2.47734326,-1.01059623
LM_normal,1,6,12,G2,run12_u0065092.log,52.24571154,38,84717.097252,0.718464,99.99915192561679,25.17223,4.256359e-06,99.99998309105312,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.19804404,-11.8612137,18.66563021,0.0,0.0,0.0,8.09816268,-1.93160083,1.80590092,0.0,0.0,0.80195596,0.1387863,40.66563021,0.0,0.0,0.0,-6.90183732,-1.93160083,1.80590092
LM_normal,1,6,12,G3,run13_u0065007.log,71.34289246,47,114338.911041,165.138072,99.85557141440609,49.22965,8.699708e-05,99.9998232831637,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.57648999,-7.98774925,-21.81805004,0.0,0.0,0.0,-23.29764244,-14.08874215,5.33879715,0.0,0.0,0.42351001,0.01225075,3.18194996,0.0,0.0,0.0,-48.29764244,-14.08874215,5.33879715
LM_normal,1,6,12,G4,run14_u0065009.log,23.99113096,30,10091.403977,0.690105,99.99316145700269,9.183464,5.397814e-06,99.99994122246245,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.79849929,-1.82126524,6.24511629,0.0,0.0,0.0,-3.37707826,-1.73717767,1.25152327,0.0,0.0,0.20150071,0.17873476,14.24511629,0.0,0.0,0.0,-6.37707826,-1.73717767,1.25152327
LM_normal,1,9,18,G0,run15_u0065014.log,97.94733944,36,34875.795527,6.316877,99.98188750420013,48.3128,6.227849e-06,99.99998710931887,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.79421852,5.22996632,46.86066136,0.0,0.0,0.0,-11.1635121,-5.78760627,4.69981191,0.0,0.0,0.20578148,0.22996632,65.86066136,0.0,0.0,0.0,-21.1635121,-5.78760627,4.69981191
LM_normal,1,9,18,G1,run16_u0065031.log,42.13359983,33,23832.861548,1.335651,99.99439575899305,19.51317,6.740403e-06,99.99996545716047,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.33783614,-6.05119432,17.48593942,0.0,0.0,0.0,-3.22440003,-2.21323683,1.82099309,0.0,0.0,-0.33783614,-0.05119432,29.48593942,0.0,0.0,0.0,-8.22440003,-2.21323683,1.82099309
LM_normal,1,9,18,G2,run17_u0065085.log,6.377126039999999,38,127068.638527,0.212955,99.99983240947377,33.70559,1.054452e-06,99.99999687158125,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.92311104,-11.99990579,-19.45834081,0.0,0.0,0.0,12.3157233,-0.83246493,0.24174205,0.0,0.0,0.07688896,9.421e-05,2.54165919,0.0,0.0,0.0,-2.6842767,-0.83246493,0.24174205
LM_normal,1,9,18,G3,run18_u0065009.log,233.79286347,48,171582.813347,342.762318,99.80023505191815,117.8958,3.520324e-05,99.9999701403782,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.70488546,-12.32227709,109.84073604,0.0,0.0,0.0,-38.24778602,-17.21368544,13.46349342,0.0,0.0,-0.70488546,-4.32227709,134.84073604,0.0,0.0,0.0,-63.24778602,-17.21368544,13.46349342
LM_normal,1,9,18,G4,run19_u0065022.log,17.1102953,26,15139.372693,0.14303,99.9990552448711,9.697961,3.217391e-06,99.99996682404682,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.88655822,-1.82320723,6.84908279,0.0,0.0,0.0,4.14681866,0.50395646,0.32020284,0.0,0.0,0.11344178,0.17679277,14.84908279,0.0,0.0,0.0,1.14681866,0.50395646,0.32020284
LM_normal,1,10,20,G0,run20_u0065034.log,33.81672992,30,38759.653123,0.509154,99.99868638143282,11.66199,1.875417e-06,99.99998391855078,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.93834236,5.09016359,6.64375892,0.0,0.0,0.0,4.69040998,-1.46557234,1.24598741,0.0,0.0,0.06165764,0.09016359,25.64375892,0.0,0.0,0.0,-5.30959002,-1.46557234,1.24598741
