Phantom already exists, skipping: cuboid_phantom_2_normal.npy

################################################################################
Running cuboid=normal scenario=G2 N_ANGLES=180, K=2
view   0 | SOD= 560.647 mm | SDD= 761.018 mm | M= 1.357 | incident=2.9645°
[[ 135.2794     -543.50665     -25.        ]
 [ -44.036404    195.25572      10.        ]
 [   0.1445025     0.03871933    0.        ]
 [   0.            0.            0.1496    ]]
               x1        y1  area1          x2         y2  area2
range  333.601724  1.226994  136.0  333.546892  30.849362  133.0
FAILURE!!!! Some beads might have been misidentified
            image          x1          y1  area1          x2          y2  area2
0    proj_000.png  473.100823  126.827160    972  473.110082  632.952675    972
1    proj_001.png  467.094650  126.798354    972  467.170958  632.963955    971
2    proj_002.png  461.084867  126.806748    978  461.145791  632.995893    974
3    proj_003.png  455.088957  126.773006    978  455.146968  633.029805    973
4    proj_004.png  449.110092  126.777778    981  449.104938  633.011317    972
5    proj_005.png  443.114053  126.795316    982  443.093911  632.971104    969
6    proj_006.png  437.113265  126.793878    980  437.098969  632.977320    970
7    proj_007.png  431.101833  126.827902    982  431.107914  632.985612    973
8    proj_008.png  425.138917  126.821246    979  425.120494  632.940268    971
9    proj_009.png  419.166667  126.811861    978  419.158974  632.898462    975
10   proj_010.png  413.255123  126.865779    976  413.224156  632.833163    977
11   proj_011.png  407.428131  126.837782    974  407.419421  632.725207    968
12   proj_012.png  401.706667  126.872821    975  401.666667  632.513932    969
13   proj_013.png  395.877823  126.808008    974  395.910586  632.302158    973
14   proj_014.png  390.159138  126.863450    974  390.187885  632.129363    974
15   proj_015.png  384.599178  126.847893    973  384.646279  631.957187    981
16   proj_016.png  379.087359  126.862282    973  379.053443  631.787256    973
17   proj_017.png  373.712074  126.866873    969  373.643523  631.446632    965
18   proj_018.png  368.285421  126.889117    974  368.329218  631.181070    972
19   proj_019.png  363.135191  126.890609    969  363.094748  630.958805    971
20   proj_020.png  358.016495  126.916495    970  358.011340  630.693814    970
21   proj_021.png  353.029866  126.904222    971  353.069959  630.295267    972
22   proj_022.png  348.138144  126.944330    970  348.148301  630.036045    971
23   proj_023.png  343.447746  126.938525    976  343.471014  629.667702    966
24   proj_024.png  338.814050  126.954545    968  338.840909  629.267562    968
25   proj_025.png  334.375000  126.957645    968  334.430470  628.932515    978
26   proj_026.png  330.067779  126.978102    959  330.080997  628.504673    963
27   proj_027.png  325.992723  126.948025    962  325.993789  628.156315    966
28   proj_028.png  322.000000  127.000000    961  321.992739  627.738589    964
29   proj_029.png  318.048269  127.000000    953  318.082292  627.270833    960
30   proj_030.png  314.516230  127.043979    955  314.507322  626.871339    956
31   proj_031.png  311.000000  127.033649    951  311.021030  626.424816    951
32   proj_032.png  307.808623  127.067298    951  307.810867  625.939394    957
33   proj_033.png  304.620000  127.097895    950  304.613684  625.488421    950
34   proj_034.png  301.644444  127.108995    945  301.623158  624.992632    950
35   proj_035.png  298.946203  127.058017    948  298.861376  624.491005    945
36   proj_036.png  296.365180  127.179406    942  296.381607  623.996829    946
37   proj_037.png  293.985169  127.148305    944  293.951426  623.486800    947
38   proj_038.png  291.787620  127.212380    937  291.845011  622.957537    942
39   proj_039.png  289.800640  127.235608    938  289.772679  622.466382    937
40   proj_040.png  288.103115  127.271751    931  288.103301  621.980831    939
41   proj_041.png  286.515575  127.286788    931  286.528970  621.446352    932
42   proj_042.png  285.154595  127.329730    925  285.155172  620.808190    928
43   proj_043.png  284.012973  127.389189    925  284.005388  620.423491    928
44   proj_044.png  283.016251  127.354280    923  283.031149  619.759398    931
45   proj_045.png  282.262295  127.355191    915  282.314130  619.360870    920
46   proj_046.png  281.657549  127.345733    914  281.686551  618.660521    922
47   proj_047.png  281.396061  127.362144    914  281.348913  618.243478    920
48   proj_048.png  281.211391  127.387733    913  281.232456  617.605263    912
49   proj_049.png  281.218922  127.408141    909  281.246981  617.164654    911
50   proj_050.png  281.458836  127.437980    911  281.466520  616.580681    911
