Phantom already exists, skipping: cuboid_phantom_6_normal.npy

################################################################################
Running cuboid=normal scenario=G0 N_ANGLES=360, K=6
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5          x6          y6  area6
0    proj_000.png  509.733060  62.332649    487  405.732265  149.508009    437  433.865297  231.340183    438  519.902098  312.200466    429  534.707865  403.719101    445  509.701717  502.733906    466
1    proj_001.png  507.169734  62.335378    489  404.302961  149.526196    439  435.020316  231.288939    443  521.983759  312.308585    431  534.884615  403.895928    442  507.167019  502.769556    473
2    proj_002.png  504.514344  62.375000    488  402.834499  149.482517    429  436.264237  231.271071    439  524.080378  312.439716    423  534.924312  403.977064    436  504.538627  502.841202    466
3    proj_003.png  501.854806  62.261759    489  401.461894  149.503464    433  437.425968  231.332574    439  526.269048  312.457143    420  535.048276  403.995402    435  502.019190  502.857143    469
4    proj_004.png  499.333333  62.382114    492  400.145455  149.450000    440  438.626398  231.279642    447  528.370023  312.456674    427  535.180587  404.117381    443  499.341053  502.926316    475
5    proj_005.png  496.807771  62.345603    489  398.673660  149.414918    429  439.903670  231.112385    436  530.529691  312.491686    421  535.279545  404.179545    440  496.825630  503.098739    476
6    proj_006.png  494.147773  62.253036    494  397.494226  149.392610    433  441.098174  231.210046    438  532.651551  312.558473    419  535.325740  404.280182    439  494.177824  502.960251    478
7    proj_007.png  491.568507  62.345603    489  396.113426  149.363426    432  442.291572  231.218679    439  534.804819  312.713253    415  535.374718  404.325056    443  491.566596  502.993658    473
8    proj_008.png  488.959432  62.346856    493  394.880282  149.345070    426  443.632184  231.149425    435  536.867470  312.761446    415  535.429864  404.432127    442  488.983368  503.060291    481
9    proj_009.png  486.380855  62.313646    491  393.647887  149.316901    426  444.926941  231.121005    438  538.867470  312.761446    415  535.447489  404.502283    438  486.363445  503.077731    476
10   proj_010.png  483.728016  62.347648    489  392.432624  149.286052    423  446.149083  231.084862    436  540.980535  312.819951    411  535.405034  404.556064    437  483.783158  503.073684    475
11   proj_011.png  481.126761  62.340040    497  391.345154  149.205674    423  447.478458  231.065760    441  543.026829  312.856098    410  535.258581  404.636156    437  481.123967  503.053719    484
12   proj_012.png  478.525050  62.300601    499  390.136792  149.183962    424  448.685649  231.086560    439  545.071429  312.881773    406  535.195853  404.744240    434  478.535714  503.000000    476
13   proj_013.png  475.941884  62.296593    499  388.976471  149.183529    425  450.006834  231.045558    439  546.938575  313.012285    407  535.264840  404.828767    438  476.004149  503.022822    482
14   proj_014.png  473.140281  62.300601    499  387.976415  149.155660    424  451.205479  231.006849    438  548.928747  313.061425    407  535.089245  404.858124    437  473.243243  503.106029    481
15   proj_015.png  470.800797  62.310757    502  386.852804  149.240654    428  452.535556  231.006667    450  550.973105  313.134474    409  534.949772  404.899543    438  470.663158  502.991579    475
16   proj_016.png  468.051485  62.398020    505  385.889930  149.243560    427  453.997717  231.027397    438  552.889163  313.187192    406  534.912240  405.009238    433  468.030864  502.989712    486
17   proj_017.png  465.525355  62.350913    493  384.918794  149.118329    431  455.175281  231.020225    445  554.857494  313.277641    407  534.813063  405.146396    444  465.489583  503.114583    480
18   proj_018.png  462.896208  62.347305    501  383.904206  149.114486    428  456.500000  231.000000    450  556.710723  313.339152    401  534.645455  405.140909    440  462.803758  503.039666    479
19   proj_019.png  460.379518  62.333333    498  382.918794  149.090487    431  457.988739  230.975225    444  558.548628  313.379052    401  534.367483  405.278396    449  460.207469  503.039419    482
20   proj_020.png  457.586694  62.370968    496  381.990741  149.041667    432  459.280624  230.953229    449  560.451372  313.431421    401  534.071910  405.244944    445  457.678351  503.043299    485
21   proj_021.png  455.104294  62.382413    489  381.009217  149.025346    434  460.524444  230.966667    450  562.317618  313.521092    403  533.993363  405.311947    452  455.074380  502.991736    484
22   proj_022.png  452.500000  62.404000    500  380.175644  149.046838    427  461.737194  230.968820    449  564.110024  313.555012    409  533.654018  405.417411    448  452.430642  502.993789    483
23   proj_023.png  449.966874  62.360248    483  379.315166  149.026066    422  463.283784  230.939189    444  565.838384  313.626263    396  533.476404  405.487640    445  449.883576  502.864865    481
24   proj_024.png  447.202454  62.398773    489  378.519630  148.981524    433  464.523385  230.888641    449  567.548387  313.776675    403  533.275938  405.571744    453  447.292531  502.939834    482
25   proj_025.png  444.954545  62.295455    484  377.813679  149.009434    424  465.988584  230.974886    438  569.209877  313.814815    405  532.930180  405.675676    444  444.768267  502.901879    479
26   proj_026.png  442.169421  62.373967    484  377.026128  148.952494    421  467.416667  230.970721    444  570.978102  313.924574    411  532.596452  405.702882    451  442.277662  502.870564    479
27   proj_027.png  439.606316  62.456842    475  376.358974  148.892774    429  468.590498  230.938914    442  572.706173  314.116049    405  532.320713  405.706013    449  439.661765  502.760504    476
28   proj_028.png  437.091097  62.362319    483  375.644342  148.956120    433  470.076566  230.955916    431  574.260976  314.051220    410  531.979730  405.792793    444  437.202532  502.706751    474
29   proj_029.png  434.726514  62.409186    479  374.990632  148.911007    427  471.527149  230.934389    442  575.912409  314.253041    411  531.610619  405.803097    452  434.683333  502.652083    480
30   proj_030.png  432.099792  62.451143    481  374.456422  148.883028    436  472.732877  230.986301    438  577.617647  314.254902    408  531.231788  405.878587    453  432.140461  502.574423    477
31   proj_031.png  429.735849  62.379455    477  373.972028  148.860140    429  474.274600  230.917620    437  579.064356  314.487624    404  530.859341  406.087912    455  429.751046  502.573222    478
32   proj_032.png  427.132780  62.419087    482  373.307517  148.785877    439  475.551570  230.921525    446  580.691748  314.500000    412  530.475054  406.110629    461  427.235417  502.420833    480
33   proj_033.png  424.812500  62.420833    480  372.951276  148.696056    431  477.013889  230.976852    432  582.066339  314.545455    407  530.062099  406.297645    467  424.819328  502.407563    476
34   proj_034.png  422.239583  62.418750    480  372.282460  148.658314    439  478.311512  230.866817    443  583.737864  314.572816    412  529.624454  406.266376    458  422.268191  502.355509    481
35   proj_035.png  419.977178  62.419087    482  371.925926  148.627315    432  479.723356  230.950113    441  585.007246  314.792271    414  529.245119  406.323210    461  419.901261  502.287815    476
36   proj_036.png  417.509554  62.433121    471  371.421769  148.680272    441  481.009302  230.927907    430  586.301471  314.948529    408  528.746725  406.347162    458  417.507431  502.152866    471
37   proj_037.png  415.125523  62.500000    478  371.087156  148.655963    436  482.476190  230.904762    441  587.867470  314.963855    415  528.293737  406.429806    463  415.132231  502.018595    484
38   proj_038.png  412.872651  62.444676    479  370.678082  148.602740    438  483.832569  230.940367    436  589.096386  315.091566    415  527.742981  406.535637    463  412.846154  501.960499    481
39   proj_039.png  410.500000  62.440171    468  370.498866  148.564626    441  485.254587  231.013761    436  590.556604  315.150943    424  527.305857  406.563991    461  410.487448  501.815900    478
40   proj_040.png  408.138947  62.454737    475  370.266055  148.589450    436  486.577626  230.931507    438  591.802410  315.272289    415  526.750547  406.562363    457  408.188679  501.683438    477
41   proj_041.png  405.927083  62.429167    480  369.873272  148.456221    434  487.955607  230.932243    428  593.004878  315.451220    410  526.223913  406.641304    460  405.850840  501.626050    476
42   proj_042.png  403.583333  62.461538    468  369.585973  148.470588    442  489.359268  231.006865    437  594.179612  315.497573    412  525.595604  406.716484    455  403.560510  501.501062    471
43   proj_043.png  401.333333  62.481953    471  369.500000  148.475225    444  490.668192  230.929062    437  595.447619  315.635714    420  525.054466  406.782135    459  401.462185  501.392857    476
44   proj_044.png  399.201699  62.441614    471  369.481982  148.425676    444  492.074419  230.986047    430  596.550827  315.695035    423  524.467532  406.759740    462  399.198330  501.292276    479
45   proj_045.png  396.989518  62.475891    477  369.405405  148.387387    444  493.451247  230.965986    441  597.717026  315.741007    417  523.711790  406.934498    458  397.050000  501.245833    480
46   proj_046.png  394.943158  62.475789    475  369.328090  148.379775    445  494.877315  230.993056    432  598.848700  315.905437    423  523.369803  406.934354    457  394.874477  500.991632    478
47   proj_047.png  392.794979  62.500000    478  369.216036  148.296214    449  496.064665  230.960739    433  599.831354  316.023753    421  522.525054  407.006536    459  392.706499  500.811321    477
48   proj_048.png  390.612836  62.478261    483  369.137472  148.203991    451  497.425000  230.965909    440  600.787234  316.137116    423  521.946352  407.180258    466  390.670190  500.718816    473
