Phantom already exists, skipping: cuboid_phantom_5_normal.npy

################################################################################
Running cuboid=normal scenario=G0 N_ANGLES=180, K=5
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5
0    proj_000.png  509.659091  62.378247    616  412.934859  170.510563    568  447.295749  270.299445    541  540.796396  379.996396    555  509.697830  502.904841    599
1    proj_001.png  504.552846  62.388618    615  411.339858  170.455516    562  452.098720  270.268739    547  542.334545  380.240000    550  504.521595  502.910299    602
2    proj_002.png  499.389251  62.397394    614  409.960854  170.459075    562  457.024030  270.234750    541  543.816514  380.330275    545  499.331667  503.011667    600
3    proj_003.png  494.242718  62.398058    618  408.589512  170.345389    553  461.754613  270.156827    542  545.354244  380.481550    542  494.230132  503.034768    604
4    proj_004.png  488.940610  62.391653    623  407.422662  170.318345    556  466.714545  270.147273    550  546.527675  380.579336    542  489.006633  503.121061    603
5    proj_005.png  483.774194  62.385484    620  406.342391  170.317029    552  471.653358  270.186933    551  547.775093  380.750929    538  483.802980  503.099338    604
6    proj_006.png  478.500000  62.339806    618  405.076087  170.257246    552  476.577697  270.212066    547  548.964552  380.908582    536  478.535655  503.127695    603
7    proj_007.png  473.305331  62.374798    619  404.034234  170.160360    555  481.433272  270.206581    547  549.992634  381.092081    543  473.316913  503.121511    609
8    proj_008.png  468.189711  62.356913    622  403.050542  170.092058    554  486.271062  270.186813    546  550.922794  381.299632    544  467.998342  503.119403    603
9    proj_009.png  462.788026  62.360841    618  402.332143  170.067857    560  491.230203  270.208103    543  551.858974  381.446886    546  462.790083  503.074380    605
10   proj_010.png  457.569805  62.418831    616  401.771993  170.010772    557  496.111927  270.168807    545  552.684783  381.621377    552  457.688013  503.062397    609
11   proj_011.png  452.500000  62.403909    614  401.010753  169.978495    558  501.003697  270.312384    541  553.391144  381.758303    542  452.442786  502.981758    603
12   proj_012.png  447.446982  62.419250    613  400.493716  169.955117    557  505.743970  270.282004    539  553.989209  381.978417    556  447.298188  502.995058    607
13   proj_013.png  442.396411  62.380098    613  400.077876  169.776991    565  510.587800  270.384473    541  554.494565  382.208333    552  442.197020  502.908940    604
14   proj_014.png  437.273906  62.414911    617  399.832451  169.797178    567  515.432532  270.445471    541  554.966490  382.370370    567  437.157119  502.757774    611
15   proj_015.png  432.226230  62.416393    610  399.521505  169.686380    558  520.198885  270.444238    538  555.250903  382.559567    554  432.182867  502.657331    607
16   proj_016.png  427.293443  62.388525    610  399.381038  169.595707    559  524.733706  270.476723    537  555.499109  382.727273    561  427.247934  502.505785    605
17   proj_017.png  422.338789  62.441899    611  399.362345  169.618117    563  529.500000  270.500000    544  555.583039  382.931095    566  422.353519  502.361702    611
