Phantom already exists, skipping: cuboid_phantom_4_normal.npy

################################################################################
Running cuboid=normal scenario=G4 N_ANGLES=180, K=4
view   0 | SOD= 568.374 mm | SDD= 691.050 mm | M= 1.216 | incident=3.1588°
[[  24.733675   -567.4833      -20.        ]
 [   3.6013086   122.35616      15.        ]
 [   0.14939497    0.00782946    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
0    proj_000.png  470.178893  86.945946    777  361.537190  234.592287    726  478.393678  375.066092    696  470.210390  539.076623    770
1    proj_001.png  465.150193  86.933248    779  361.979339  234.601928    726  482.298701  375.233766    693  465.107652  539.177691    771
2    proj_002.png  460.000000  86.856960    783  362.500000  234.574176    728  486.235890  375.361795    691  459.998710  539.327742    775
3    proj_003.png  454.845663  86.887755    784  363.134349  234.534626    722  490.047965  375.459302    688  454.892031  539.470437    778
4    proj_004.png  449.622423  86.885309    776  363.669903  234.509015    721  493.983918  375.567251    684  449.564103  539.552564    780
5    proj_005.png  444.316667  86.865385    780  364.408022  234.482711    723  497.751105  375.789396    679  444.347044  539.690231    778
6    proj_006.png  439.000000  86.856960    783  365.208044  234.442441    721  501.442167  375.897511    683  438.966408  539.742894    774
7    proj_007.png  433.610191  86.807643    785  366.033333  234.434722    720  504.961481  376.000000    675  433.634146  539.816431    779
8    proj_008.png  428.354592  86.848214    784  366.875872  234.404463    717  508.458150  376.129222    681  428.307593  539.833977    777
9    proj_009.png  422.927203  86.872286    783  367.735664  234.384615    715  511.730882  376.376471    680  422.899355  539.845161    775
10   proj_010.png  417.511421  86.785533    788  368.726891  234.301120    714  515.000000  376.500000    682  417.594629  539.795396    782
11   proj_011.png  412.142132  86.870558    788  369.853556  234.287308    717  518.164201  376.730769    676  412.163239  539.813625    778
12   proj_012.png  406.804847  86.844388    784  371.001397  234.250000    716  521.149852  376.906528    674  406.781210  539.806950    777
13   proj_013.png  401.400256  86.881074    782  372.108484  234.283727    719  524.065185  377.031111    675  401.427835  539.858247    776
14   proj_014.png  396.079284  86.886189    782  373.406425  234.293296    716  526.789165  377.219619    683  396.033592  539.713178    774
15   proj_015.png  390.886189  86.888747    782  374.593007  234.232168    715  529.471098  377.498555    692  390.827763  539.674807    778
16   proj_016.png  385.500000  86.851282    780  375.932867  234.145455    715  531.982583  377.671988    689  385.503193  539.544061    783
17   proj_017.png  380.221364  86.900901    777  377.382148  234.059972    717  534.345376  377.923410    692  380.181701  539.435567    776
18   proj_018.png  375.069320  86.852375    779  378.752420  234.081604    723  536.635447  378.038905    694  375.059355  539.313548    775
19   proj_019.png  369.982005  86.883033    778  380.291436  234.082873    724  538.674286  378.251429    700  369.935650  539.172458    777
20   proj_020.png  364.916452  86.890746    778  381.724897  234.000000    727  540.665242  378.464387    702  364.857875  539.040973    781
21   proj_021.png  359.896154  86.956410    780  383.420470  233.990318    723  542.447109  378.751763    709  359.888747  538.915601    782
22   proj_022.png  355.000000  86.924968    773  384.955923  233.979339    726  544.129078  378.873759    705  354.958710  538.731613    775
23   proj_023.png  350.175484  87.007742    775  386.530726  233.886872    716  545.597458  379.216102    708  350.091731  538.555556    774
24   proj_024.png  345.347938  87.000000    776  388.311544  233.849791    719  547.018440  379.448227    705  345.392535  538.266409    777
25   proj_025.png  340.774485  87.019330    776  389.959666  233.898470    719  548.262272  379.624123    713  340.814194  538.055484    775
26   proj_026.png  336.232558  87.083979    774  391.688982  233.808926    717  549.324022  379.815642    716  336.211340  537.911082    776
27   proj_027.png  331.824516  87.122581    775  393.500697  233.769874    717  550.204451  380.073713    719  331.881137  537.697674    774
28   proj_028.png  327.470361  87.114691    776  395.391911  233.722455    717  550.901389  380.305556    720  327.520513  537.258974    780
29   proj_029.png  323.301546  87.150773    776  397.087137  233.764869    723  551.537190  380.557851    726  323.336774  537.052903    775
30   proj_030.png  319.183938  87.218912    772  399.019364  233.782849    723  551.983562  380.752055    730  319.187339  536.863049    774
31   proj_031.png  315.245161  87.218065    775  400.912863  233.764869    723  552.153215  381.088919    731  315.210323  536.500645    775
32   proj_032.png  311.463918  87.332474    776  402.731198  233.795265    718  552.274216  381.321965    733  311.447471  536.119326    771
33   proj_033.png  307.815203  87.342071    763  404.685675  233.766342    719  552.228883  381.482289    734  307.785901  535.967363    766
34   proj_034.png  304.219895  87.361257    764  406.572626  233.713687    716  551.958051  381.757781    739  304.198960  535.527958    769
35   proj_035.png  300.867801  87.497382    764  408.572626  233.713687    716  551.587280  381.962111    739  300.884115  535.171875    768
36   proj_036.png  297.666667  87.590850    765  410.539216  233.724090    714  551.091275  382.212081    745  297.628088  534.920676    769
37   proj_037.png  294.592885  87.716733    759  412.514768  233.762307    711  550.296346  382.465494    739  294.576471  534.430065    765
38   proj_038.png  291.661376  87.763228    756  414.479606  233.772152    711  549.432796  382.705645    744  291.629921  534.094488    762
39   proj_039.png  288.908609  87.765563    755  416.447552  233.735664    715  548.399733  382.913102    748  288.921156  533.771353    761
40   proj_040.png  286.297082  87.820955    754  418.431564  233.722067    716  547.213904  383.141711    748  286.257596  533.297226    757
41   proj_041.png  283.888594  87.888594    754  420.432773  233.719888    714  545.758065  383.381720    744  283.894459  532.980211    758
42   proj_042.png  281.622340  87.925532    752  422.431564  233.722067    716  544.258713  383.627346    746  281.712951  532.580774    749
43   proj_043.png  279.537333  87.988000    750  424.378682  233.730715    713  542.556591  383.869507    751  279.556591  532.130493    751
44   proj_044.png  277.647530  88.038718    749  426.359551  233.721910    712  540.712766  384.045213    752  277.663539  531.760054    746
45   proj_045.png  275.924000  88.064000    750  428.359551  233.721910    712  538.768824  384.260238    757  275.899866  531.319092    749
46   proj_046.png  274.385235  88.120805    745  430.317483  233.682517    715  536.653743  384.569519    748  274.389558  530.914324    747
47   proj_047.png  273.084677  88.206989    744  432.231844  233.724860    716  534.230567  384.740448    759  273.032129  530.467202    747
48   proj_048.png  271.873144  88.215924    741  434.046025  233.785216    717  531.801316  384.952632    760  271.867114  530.034899    745
49   proj_049.png  270.924016  88.355495    737  435.962396  233.807799    718  529.143799  385.104222    758  270.884824  529.647696    738
50   proj_050.png  270.029891  88.395380    736  437.867318  233.840782    716  526.409211  385.207895    760  270.027137  529.223881    737
51   proj_051.png  269.460274  88.500000    730  439.653631  233.786313    716  523.535668  385.560311    771  269.366848  528.811141    736
52   proj_052.png  268.929059  88.548431    733  441.493706  233.802797    715  520.460938  385.819010    768  268.947083  528.359566    737
53   proj_053.png  268.628453  88.585635    724  443.300417  233.826147    719  517.297650  385.930809    766  268.640990  527.918845    727
54   proj_054.png  268.586445  88.609959    723  445.044383  233.855756    721  514.105744  386.090078    766  268.575172  527.474483    725
55   proj_055.png  268.605263  88.619114    722  446.740638  233.876560    721  510.612694  386.208549    772  268.673051  527.054720    731
56   proj_056.png  268.962707  88.772099    724  448.465374  233.896122    722  507.093506  386.372727    770  268.887052  526.625344    726
57   proj_057.png  269.391911  88.722455    717  450.090909  233.946281    726  503.482051  386.584615    780  269.377437  526.328691    718
58   proj_058.png  270.000000  88.844228    719  451.812155  233.979282    724  499.686375  386.822622    778  269.983333  525.741667    720
