Phantom already exists, skipping: cuboid_phantom_2_normal.npy

################################################################################
Running cuboid=normal scenario=G3 N_ANGLES=360, K=2
view   0 | SOD= 556.844 mm | SDD= 802.742 mm | M= 1.442 | incident=4.7367°
[[ 239.08467    -500.88773     -45.        ]
 [-110.79194     218.66446      20.        ]
 [   0.13558364    0.06322369    0.        ]
 [   0.            0.            0.1496    ]]
               x1         y1  area1          x2        y2  area2
range  354.396123  11.523693  167.0  354.377443  45.81813  151.0
FAILURE!!!! Some beads might have been misidentified
            image          x1          y1  area1          x2          y2  area2
0    proj_000.png  506.310531  124.365437   1111  506.183993  662.243790   1087
1    proj_001.png  503.056808  124.285843   1109  503.055249  662.204420   1086
2    proj_002.png  499.818834  124.298655   1115  499.896520  662.174908   1092
3    proj_003.png  496.675068  124.300630   1111  496.677889  662.180164   1099
4    proj_004.png  493.513977  124.330929   1109  493.461045  662.129239   1091
5    proj_005.png  490.336643  124.292419   1108  490.288991  662.077064   1090
6    proj_006.png  487.129964  124.262635   1108  487.106074  662.030825   1103
7    proj_007.png  484.037940  124.241192   1107  483.988171  661.988171   1099
8    proj_008.png  480.923982  124.187330   1105  480.925859  661.953888   1106
9    proj_009.png  477.816123  124.221920   1104  477.796917  661.840435   1103
10   proj_010.png  474.738420  124.190736   1101  474.718978  661.792883   1096
11   proj_011.png  471.582577  124.171506   1102  471.541818  661.680000   1100
12   proj_012.png  468.501805  124.147112   1108  468.415608  661.597096   1102
13   proj_013.png  465.378526  124.087352   1099  465.333637  661.483136   1097
14   proj_014.png  462.324226  124.118397   1098  462.300273  661.352138   1099
15   proj_015.png  459.312329  124.094064   1095  459.253431  661.221409   1093
16   proj_016.png  456.256341  124.049819   1104  456.247964  661.067873   1105
17   proj_017.png  453.286618  124.000000   1106  453.228546  660.988257   1107
18   proj_018.png  450.311031  123.970163   1106  450.274527  660.875788   1111
19   proj_019.png  447.321267  123.983710   1105  447.324545  660.678182   1100
20   proj_020.png  444.449726  123.938757   1094  444.390909  660.526364   1100
21   proj_021.png  441.537341  123.901639   1098  441.537205  660.345735   1102
22   proj_022.png  438.661510  123.842584   1099  438.670310  660.163934   1098
23   proj_023.png  435.811131  123.834854   1096  435.847688  660.011786   1103
24   proj_024.png  432.977231  123.827869   1098  432.941123  659.850543   1104
25   proj_025.png  430.133090  123.801276   1097  430.123175  659.619526   1096
26   proj_026.png  427.344576  123.682771   1097  427.350318  659.429481   1099
27   proj_027.png  424.732305  123.586207   1102  424.747484  659.196706   1093
28   proj_028.png  421.954254  123.567246   1093  421.963702  659.012704   1102
29   proj_029.png  419.207306  123.484018   1095  419.180000  658.823636   1100
30   proj_030.png  416.702925  123.393053   1094  416.677036  658.600183   1093
31   proj_031.png  414.005479  123.294977   1095  413.984475  658.371689   1095
32   proj_032.png  411.410584  123.217153   1096  411.419910  658.114932   1105
33   proj_033.png  408.882299  123.162409   1096  408.926431  657.942779   1101
34   proj_034.png  406.386157  123.138434   1098  406.360401  657.666058   1096
35   proj_035.png  403.911335  123.091408   1094  403.870879  657.335165   1092
36   proj_036.png  401.455128  123.038462   1092  401.418944  657.129326   1098
37   proj_037.png  399.016514  123.003670   1090  399.062899  656.878760   1097
38   proj_038.png  396.663927  122.927854   1095  396.628182  656.595455   1100
39   proj_039.png  394.381302  122.857012   1091  394.398174  656.274886   1095
40   proj_040.png  392.017383  122.851784   1093  392.051960  655.989061   1097
41   proj_041.png  389.877870  122.800735   1089  389.847426  655.736213   1088
42   proj_042.png  387.628781  122.700275   1091  387.646520  655.413919   1092
43   proj_043.png  385.430137  122.673973   1095  385.475275  655.198718   1092
44   proj_044.png  383.250462  122.469501   1082  383.311070  654.810613   1093
45   proj_045.png  381.175439  122.325023   1083  381.222836  654.584715   1086
46   proj_046.png  379.151571  122.259704   1082  379.217712  654.245387   1084
47   proj_047.png  377.183164  122.193340   1081  377.220898  653.914757   1091
48   proj_048.png  375.197040  122.172988   1081  375.271639  653.697053   1086
49   proj_049.png  373.414048  122.065619   1082  373.456722  653.277164   1086
50   proj_050.png  371.588889  121.998148   1080  371.609217  652.899539   1085
51   proj_051.png  369.804267  121.916512   1078  369.778598  652.561808   1084
52   proj_052.png  368.015977  121.807331   1064  367.993482  652.258845   1074
53   proj_053.png  366.270775  121.827264   1071  366.246753  651.964750   1078
54   proj_054.png  364.712825  121.732342   1076  364.689239  651.532468   1078
55   proj_055.png  363.008427  121.594569   1068  363.051068  651.277623   1077
56   proj_056.png  361.475425  121.475425   1058  361.533457  650.855948   1076
57   proj_057.png  359.994371  121.406191   1066  359.994408  650.483691   1073
58   proj_058.png  358.515551  121.263902   1061  358.520522  650.182836   1072
59   proj_059.png  357.126747  121.184529   1073  357.096082  649.743470   1072
60   proj_060.png  355.722587  121.096532   1067  355.806935  649.402062   1067
61   proj_061.png  354.437030  121.009398   1064  354.437792  649.086997   1069
62   proj_062.png  353.202247  120.983146   1068  353.130028  648.666978   1069
63   proj_063.png  352.000000  120.793814   1067  351.978485  648.361085   1069
64   proj_064.png  350.837711  120.759850   1066  350.802239  647.926306   1072
65   proj_065.png  349.717803  120.636364   1056  349.736347  647.549906   1062
66   proj_066.png  348.695446  120.577799   1054  348.671362  647.203756   1065
67   proj_067.png  347.671415  120.434948   1053  347.633459  646.789474   1064
68   proj_068.png  346.705043  120.402474   1051  346.687146  646.422495   1058
69   proj_069.png  345.800380  120.334601   1052  345.810019  646.085066   1058
70   proj_070.png  345.045627  120.173954   1052  345.040720  645.613636   1056
71   proj_071.png  344.351377  120.089269   1053  344.286389  645.300567   1058
72   proj_072.png  343.525617  119.978178   1054  343.544508  644.849432   1056
73   proj_073.png  342.965616  119.933142   1047  342.899621  644.527462   1056
74   proj_074.png  342.204023  119.766284   1044  342.245747  644.128544   1058
75   proj_075.png  341.738713  119.656100   1041  341.680912  643.609687   1053
76   proj_076.png  341.203650  119.585975   1041  341.165242  643.394112   1053
77   proj_077.png  340.653772  119.450677   1034  340.686667  642.894286   1050
78   proj_078.png  340.366538  119.457447   1034  340.302682  642.521073   1044
79   proj_079.png  339.934866  119.323755   1044  339.921028  642.130352   1051
80   proj_080.png  339.640504  119.224806   1032  339.664751  641.630268   1044
81   proj_081.png  339.480193  119.161353   1035  339.434615  641.375962   1040
82   proj_082.png  339.334615  118.964423   1040  339.309913  640.881617   1039
83   proj_083.png  339.120773  118.828019   1035  339.103349  640.552153   1045
84   proj_084.png  339.030948  118.770793   1034  339.012548  640.121622   1036
85   proj_085.png  339.006783  118.683140   1032  339.048170  639.624277   1038
86   proj_086.png  339.002901  118.570600   1034  338.979769  639.394027   1038
87   proj_087.png  339.091174  118.453928   1031  339.111004  638.889961   1036
88   proj_088.png  339.274854  118.436647   1026  339.302505  638.557803   1038
89   proj_089.png  339.445312  118.375977   1024  339.427317  638.148293   1025
90   proj_090.png  339.680976  118.213659   1025  339.651118  637.613217   1029
91   proj_091.png  339.983415  118.140488   1025  339.924565  637.259188   1034
92   proj_092.png  340.326772  118.011811   1016  340.343750  636.904297   1024
93   proj_093.png  340.691249  117.858407   1017  340.672816  636.492233   1030
94   proj_094.png  341.219057  117.788802   1018  341.205305  636.148330   1018
95   proj_095.png  341.665358  117.649657   1019  341.679374  635.696970   1023
96   proj_096.png  342.264039  117.588177   1015  342.264966  635.329735   1019
97   proj_097.png  342.868657  117.517413   1005  342.881423  634.943676   1012
98   proj_098.png  343.500000  117.450787   1016  343.504873  634.532164   1026
99   proj_099.png  344.215706  117.293241   1006  344.241345  634.177052   1011
100  proj_100.png  345.013958  117.238285   1003  344.991071  633.808532   1008
101  proj_101.png  345.785429  117.096806   1002  345.769003  633.339585   1013
102  proj_102.png  346.683633  117.017964   1002  346.697211  633.018924   1004
103  proj_103.png  347.595980  116.909548    995  347.650198  632.656126   1012
104  proj_104.png  348.552419  116.872984    992  348.586653  632.182271   1004
105  proj_105.png  349.626627  116.718719    999  349.600598  631.925299   1004
106  proj_106.png  350.743744  116.601602    999  350.672619  631.517857   1008
107  proj_107.png  351.799799  116.530181    994  351.774000  631.086000   1000
108  proj_108.png  352.925553  116.450704    994  352.931932  630.807808    999
109  proj_109.png  354.173387  116.397177    992  354.118762  630.364271   1002
110  proj_110.png  355.383838  116.203030    990  355.482447  630.003009    997
111  proj_111.png  356.770707  116.173737    990  356.742515  629.685629   1002
112  proj_112.png  358.089431  116.102642    984  358.043347  629.317540    992
113  proj_113.png  359.437120  116.017241    986  359.467742  628.991935    992
114  proj_114.png  360.919634  115.897253    983  360.917172  628.629293    990
115  proj_115.png  362.434251  115.852192    981  362.451417  628.157895    988
116  proj_116.png  363.971370  115.775051    978  363.975535  627.946993    981
117  proj_117.png  365.517949  115.742564    975  365.582150  627.630832    986
118  proj_118.png  367.098059  115.578141    979  367.132995  627.216244    985
119  proj_119.png  368.896728  115.473415    978  368.854527  626.954222    983
120  proj_120.png  370.541538  115.375385    975  370.581205  626.647600    979
121  proj_121.png  372.257965  115.284687    973  372.229358  626.168196    981
122  proj_122.png  374.032956  115.242019    971  374.059305  625.981595    978
123  proj_123.png  375.913402  115.170103    970  375.902364  625.622816    973
124  proj_124.png  377.824017  115.080745    966  377.815117  625.272727    979
125  proj_125.png  379.736570  115.002066    968  379.696410  624.981538    975
126  proj_126.png  381.742739  114.936722    964  381.660825  624.776289    970
127  proj_127.png  383.746114  114.883938    965  383.668724  624.340535    972
128  proj_128.png  385.743215  114.786013    958  385.717526  624.065979    970
129  proj_129.png  387.788100  114.787056    958  387.782970  623.875389    963
130  proj_130.png  389.890625  114.671875    960  389.892004  623.618899    963
131  proj_131.png  392.009395  114.582463    958  392.052740  623.198552    967
132  proj_132.png  394.067992  114.462343    956  394.122934  623.067149    968
133  proj_133.png  396.328437  114.442812    953  396.369678  622.762201    963
134  proj_134.png  398.685475  114.301985    957  398.639583  622.442708    960
135  proj_135.png  400.960334  114.237996    958  400.946114  622.174093    965
136  proj_136.png  403.092050  114.176778    956  403.195652  621.972050    966
137  proj_137.png  405.619645  114.170324    957  405.647609  621.722453    962
