
################################################################################
Running scenario=G3 N_ANGLES=180, K=2
view   0 | SOD= 570.464 mm | SDD= 705.315 mm | M= 1.236 | incident=3.4990°
[[ 138.86055    -552.827       -23.        ]
 [ -34.584156    129.47562      20.        ]
 [   0.14509286    0.03644481    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2
0    proj_000.png  513.482121  57.951911    811  513.457143  518.352795    805
1    proj_001.png  508.056720  57.848335    811  508.035802  518.395062    810
2    proj_002.png  502.565806  57.913899    813  502.561881  518.387376    808
3    proj_003.png  497.187348  57.885645    822  497.106357  518.480440    818
4    proj_004.png  491.620732  57.925610    820  491.622991  518.421508    809
5    proj_005.png  486.232643  57.923264    821  486.157895  518.495716    817
6    proj_006.png  480.707824  57.922983    818  480.665845  518.438964    811
7    proj_007.png  475.304774  57.946144    817  475.331273  518.458591    809
8    proj_008.png  469.786420  57.966667    810  469.763838  518.405904    813
9    proj_009.png  464.433824  58.000000    816  464.469212  518.403941    812
10   proj_010.png  459.097015  57.922886    804  459.115242  518.221809    807
11   proj_011.png  453.692118  57.960591    812  453.713400  518.156328    806
12   proj_012.png  448.461538  58.000000    806  448.431592  517.973881    804
13   proj_013.png  443.312732  57.980222    809  443.240397  517.866171    807
14   proj_014.png  438.035000  58.001250    800  438.085502  517.717472    807
15   proj_015.png  432.998753  58.057357    802  432.983891  517.594796    807
16   proj_016.png  428.000000  58.037453    801  427.936646  517.337888    805
17   proj_017.png  423.039900  58.097257    802  423.039604  517.174505    808
18   proj_018.png  418.208229  58.120948    802  418.235367  516.892902    803
19   proj_019.png  413.490660  58.159402    803  413.466501  516.686104    806
20   proj_020.png  408.861250  58.113750    800  408.753731  516.446517    804
21   proj_021.png  404.292289  58.166667    804  404.298267  516.237624    808
22   proj_022.png  399.852500  58.102500    800  399.883605  515.953692    799
23   proj_023.png  395.569116  58.204234    803  395.540173  515.605686    809
24   proj_024.png  391.397756  58.249377    802  391.472705  515.395782    806
25   proj_025.png  387.408240  58.302122    801  387.354115  515.082294    802
26   proj_026.png  383.478803  58.295511    802  383.495641  514.684932    803
27   proj_027.png  379.666250  58.305000    800  379.604271  514.337940    796
28   proj_028.png  376.106784  58.300251    796  376.113636  514.040404    792
29   proj_029.png  372.596469  58.336696    793  372.527569  513.619048    798
30   proj_030.png  369.360202  58.374055    794  369.348045  513.264817    793
31   proj_031.png  366.193426  58.415929    791  366.101266  512.910127    790
32   proj_032.png  363.139594  58.420051    788  363.140152  512.498737    792
33   proj_033.png  360.294416  58.500000    788  360.269821  512.081841    782
34   proj_034.png  357.627376  58.484157    789  357.686946  511.690748    789
35   proj_035.png  355.091954  58.538953    783  355.080769  511.229487    780
36   proj_036.png  352.882202  58.576184    781  352.855128  510.882051    780
37   proj_037.png  350.669643  58.595663    784  350.633249  510.366751    788
38   proj_038.png  348.723077  58.670513    780  348.714653  509.985861    778
39   proj_039.png  346.913437  58.711886    774  346.935484  509.517419    775
40   proj_040.png  345.173351  58.798189    773  345.273548  509.010323    775
41   proj_041.png  343.949482  58.744819    772  343.931436  508.698577    773
42   proj_042.png  342.636719  58.860677    768  342.704280  508.108949    771
43   proj_043.png  341.606258  58.852673    767  341.635770  507.775457    766
44   proj_044.png  340.753927  58.866492    764  340.786649  507.187173    764
45   proj_045.png  340.027741  58.903567    757  340.044619  506.803150    762
46   proj_046.png  339.540682  58.929134    762  339.537859  506.219321    766
47   proj_047.png  339.168421  58.980263    760  339.167768  505.867900    757
48   proj_048.png  339.071146  59.000000    759  339.053947  505.364474    760
49   proj_049.png  339.088859  59.051724    754  339.105680  504.910172    757
50   proj_050.png  339.331565  59.045093    754  339.249001  504.455393    751
51   proj_051.png  339.801061  59.104775    754  339.772787  504.013210    757
52   proj_052.png  340.357810  59.122830    749  340.288204  503.591153    746
53   proj_053.png  341.170667  59.158667    750  341.139442  503.066401    753
54   proj_054.png  342.134048  59.222520    746  342.120321  502.608289    748
55   proj_055.png  343.335142  59.251018    737  343.266216  502.168919    740
56   proj_056.png  344.532609  59.358696    736  344.582090  501.720488    737
57   proj_057.png  346.048847  59.329715    737  346.055480  501.299053    739
58   proj_058.png  347.680822  59.375342    730  347.717568  500.814865    740
59   proj_059.png  349.511628  59.482900    731  349.530055  500.475410    732
60   proj_060.png  351.511628  59.482900    731  351.560274  499.973973    730
61   proj_061.png  353.674931  59.464187    726  353.627235  499.528198    727
62   proj_062.png  356.088766  59.507628    721  356.041209  499.196429    728
63   proj_063.png  358.560773  59.526243    724  358.537500  498.705556    720
64   proj_064.png  361.282123  59.533520    716  361.269819  498.418637    719
65   proj_065.png  363.892458  59.592179    716  363.879167  498.000000    720
66   proj_066.png  366.797486  59.576816    716  366.799163  497.546722    717
67   proj_067.png  369.972222  59.630556    720  369.962552  497.260749    721
68   proj_068.png  373.189415  59.657382    718  373.201389  496.830556    720
69   proj_069.png  376.575419  59.710894    716  376.552156  496.528512    719
70   proj_070.png  379.981919  59.706537    719  379.952909  496.254848    722
71   proj_071.png  383.610644  59.721289    714  383.600840  495.796919    714
72   proj_072.png  387.405367  59.717514    708  387.404225  495.598592    710
73   proj_073.png  391.238028  59.740845    710  391.275281  495.332865    712
74   proj_074.png  395.231638  59.765537    708  395.225670  494.937941    709
75   proj_075.png  399.305832  59.810811    703  399.277075  494.614627    711
76   proj_076.png  403.452482  59.835461    705  403.416079  494.423131    709
77   proj_077.png  407.657183  59.846373    703  407.673239  494.239437    710
78   proj_078.png  412.186080  59.900568    704  412.132768  493.854520    708
79   proj_079.png  416.559490  59.876771    706  416.600000  493.647552    715
80   proj_080.png  421.112835  59.932299    709  421.094767  493.485149    707
