Phantom already exists, skipping: cuboid_phantom_3_small.npy

################################################################################
Running cuboid=small scenario=G1 N_ANGLES=360, K=3
view   0 | SOD= 570.551 mm | SDD= 705.315 mm | M= 1.236 | incident=3.4990°
[[  81.309204  -564.17444    -25.       ]
 [ -18.649195   132.69592     18.       ]
 [   0.1481441    0.0208203    0.       ]
 [   0.           0.           0.1496   ]]
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3
0    proj_000.png  523.993573  159.068123    778  426.012212  295.618725    737  524.006427  443.721080    778
1    proj_001.png  522.864103  159.087179    780  427.258808  295.588076    738  522.865557  443.788732    781
2    proj_002.png  521.656812  159.065553    778  428.436735  295.502041    735  521.693196  443.894737    779
3    proj_003.png  520.500000  159.028351    776  429.500000  295.500000    732  520.410026  443.929306    778
4    proj_004.png  519.356499  159.050193    777  430.661685  295.517663    736  519.339744  443.965385    780
5    proj_005.png  518.075448  159.084399    782  431.977027  295.467568    740  518.047194  444.001276    784
6    proj_006.png  516.761844  159.110115    781  433.073072  295.416779    739  516.823529  444.040921    782
7    proj_007.png  515.584082  159.089859    779  434.343793  295.455662    733  515.554987  444.037084    782
8    proj_008.png  514.374202  159.117497    783  435.566347  295.440492    731  514.374202  444.117497    783
9    proj_009.png  513.049872  159.113811    782  436.841892  295.379730    740  513.103846  444.169231    780
10   proj_010.png  511.754789  159.083014    783  438.016282  295.358209    737  511.747782  444.252218    789
11   proj_011.png  510.465823  159.121519    790  439.281461  295.358593    739  510.433081  444.345960    792
12   proj_012.png  509.223785  159.095908    782  440.567751  295.261518    738  509.252538  444.360406    788
13   proj_013.png  507.857687  159.109276    787  441.901882  295.240591    744  507.838180  444.408344    791
14   proj_014.png  506.525316  159.154430    790  443.131720  295.217742    744  506.540778  444.444166    797
15   proj_015.png  505.201521  159.134347    789  444.537736  295.191375    742  505.282472  444.484237    793
16   proj_016.png  503.837769  159.131812    789  445.854643  295.160162    743  503.764484  444.536524    794
17   proj_017.png  502.480405  159.213654    791  447.100806  295.153226    744  502.489975  444.565163    798
18   proj_018.png  501.143038  159.137975    790  448.484522  295.113055    743  501.262893  444.594969    795
19   proj_019.png  499.773990  159.189394    792  449.801609  295.109920    746  499.701135  444.644388    793
20   proj_020.png  498.376904  159.251269    788  451.143243  295.052703    740  498.402010  444.608040    796
21   proj_021.png  497.000000  159.167513    788  452.484564  295.075168    745  496.984752  444.819568    787
22   proj_022.png  495.568354  159.236709    790  453.860403  295.045638    745  495.583123  444.686398    794
23   proj_023.png  494.175949  159.189873    790  455.209960  295.017497    743  494.211125  444.798989    791
24   proj_024.png  492.748101  159.249367    790  456.584450  295.064343    746  492.776233  444.796460    791
25   proj_025.png  491.338384  159.292929    792  457.913978  295.017473    744  491.356873  444.776797    793
26   proj_026.png  489.956907  159.229404    789  459.325236  294.990553    741  489.946701  444.876904    788
27   proj_027.png  488.511950  159.310692    795  460.684709  294.981055    739  488.500000  444.828715    794
28   proj_028.png  487.043093  159.229404    789  462.045576  294.982574    746  487.048101  444.887342    790
29   proj_029.png  485.584906  159.320755    795  463.460916  294.959569    742  485.615385  444.837327    793
30   proj_030.png  484.171934  159.230088    791  464.865047  295.000000    741  484.121827  444.895939    788
31   proj_031.png  482.698232  159.272727    792  466.234818  294.964912    741  482.759798  444.901391    791
32   proj_032.png  481.392453  159.285535    795  467.662618  294.931174    741  481.243995  444.908976    791
33   proj_033.png  479.883985  159.305170    793  469.047043  294.923387    744  479.870722  444.963245    789
34   proj_034.png  478.398241  159.266332    796  470.405699  294.948440    737  478.407595  444.900000    790
35   proj_035.png  476.929293  159.340909    792  471.811321  294.939353    742  476.941992  444.963430    793
36   proj_036.png  475.516939  159.278545    797  473.228070  294.967611    741  475.500000  444.828715    794
37   proj_037.png  474.087011  159.329130    793  474.714670  295.000000    743  474.104930  444.948167    791
38   proj_038.png  472.629073  159.279449    798  476.018717  294.911765    748  472.620603  444.844221    796
39   proj_039.png  471.159950  159.298489    794  477.366577  294.955526    742  471.169620  444.932911    790
40   proj_040.png  469.701887  159.325786    795  478.810811  294.956757    740  469.785533  444.944162    788
41   proj_041.png  468.325786  159.298113    795  480.236806  294.966171    739  468.244304  444.955696    790
42   proj_042.png  466.857503  159.257251    793  481.647773  294.963563    741  466.859137  444.917513    788
43   proj_043.png  465.408291  159.297739    796  482.985274  294.962517    747  465.423174  444.869018    794
44   proj_044.png  463.962073  159.233881    791  484.414209  294.961126    746  463.977273  444.912879    792
45   proj_045.png  462.500000  159.294710    794  485.840970  294.970350    742  462.482412  444.796482    796
46   proj_046.png  461.027848  159.216456    790  487.179487  295.002699    741  461.059569  444.896071    789
47   proj_047.png  459.659521  159.312736    793  488.567968  294.985195    743  459.638083  444.793190    793
48   proj_048.png  458.176172  159.225602    789  489.945040  294.995979    746  458.211125  444.776233    791
49   proj_049.png  456.803030  159.223485    792  491.309556  295.029610    743  456.839241  444.868354    790
50   proj_050.png  455.396465  159.253788    792  492.755047  295.000000    743  455.342138  444.764780    795
51   proj_051.png  453.984752  159.180432    787  494.068456  295.028188    745  453.983523  444.844106    789
52   proj_052.png  452.568354  159.236709    790  495.407258  295.100806    744  452.554717  444.696855    795
53   proj_053.png  451.178707  159.164766    789  496.810484  295.014785    744  451.189394  444.738636    792
54   proj_054.png  449.767383  159.206068    791  498.102564  295.091768    741  449.727960  444.652393    794
55   proj_055.png  448.452711  159.242119    793  499.451007  295.112752    745  448.427136  444.590452    796
56   proj_056.png  447.000000  159.127226    786  500.829960  295.107962    741  447.046895  444.607098    789
57   proj_057.png  445.644304  159.244304    790  502.126514  295.196501    743  445.610063  444.563522    795
58   proj_058.png  444.349367  159.248101    790  503.429341  295.142665    743  444.375000  444.506313    792
59   proj_059.png  442.980940  159.120712    787  504.778226  295.212366    744  442.973418  444.498734    790
