Phantom already exists, skipping: cuboid_phantom_3_square.npy

################################################################################
Running cuboid=square scenario=G3 N_ANGLES=180, K=3
view   0 | SOD= 570.464 mm | SDD= 705.315 mm | M= 1.236 | incident=3.4990°
[[ 138.86055    -552.827       -23.        ]
 [ -34.584156    129.47562      20.        ]
 [   0.14509286    0.03644481    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3
0    proj_000.png  564.686642  185.323346    801  420.697095  277.300138    723  564.650437  388.519351    801
1    proj_001.png  560.405000  185.367500    800  424.841160  277.187845    724  560.438903  388.693267    802
2    proj_002.png  555.941250  185.355000    800  429.141873  277.071625    726  555.942211  388.849246    796
3    proj_003.png  551.539702  185.414392    806  433.396409  276.954420    724  551.523154  389.007509    799
4    proj_004.png  546.873918  185.427689    809  437.839557  276.832642    723  546.861423  389.139825    801
5    proj_005.png  542.338272  185.500000    810  442.264177  276.789765    723  542.299007  389.269231    806
6    proj_006.png  537.519207  185.495663    807  446.671290  276.682386    721  537.541512  389.394052    807
7    proj_007.png  532.723457  185.502469    810  451.378641  276.632455    721  532.728730  389.452528    811
8    proj_008.png  527.975550  185.567237    818  455.826446  276.622590    726  527.968254  389.470085    819
9    proj_009.png  523.095706  185.576687    815  460.451034  276.575172    725  523.093252  389.587730    815
10   proj_010.png  518.200986  185.602959    811  465.202216  276.500000    722  518.225647  389.651048    811
11   proj_011.png  513.255528  185.590909    814  469.735457  276.533241    722  513.275184  389.660934    814
12   proj_012.png  508.253676  185.638480    816  474.519945  276.506190    727  508.274293  389.744157    813
13   proj_013.png  503.233129  185.628221    815  479.337017  276.479282    724  503.260123  389.763190    815
14   proj_014.png  498.147561  185.651220    820  483.998619  276.469613    724  498.197062  389.801714    817
15   proj_015.png  493.132603  185.633820    822  488.677686  276.500000    726  493.122699  389.781595    815
16   proj_016.png  488.093902  185.634146    820  493.500000  276.500000    732  488.103194  389.785012    814
17   proj_017.png  483.076736  185.624848    821  498.309392  276.500000    724  483.083641  389.787208    813
18   proj_018.png  478.096459  185.639805    819  502.929558  276.469613    724  478.094828  389.779557    812
