Phantom already exists, skipping: cuboid_phantom_3_square.npy

################################################################################
Running cuboid=square scenario=G4 N_ANGLES=180, K=3
view   0 | SOD= 570.594 mm | SDD= 809.425 mm | M= 1.419 | incident=3.4005°
[[  33.809837   -568.99725     -26.        ]
 [ -13.700238    237.60535      22.        ]
 [   0.14935194    0.00861158    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3
0    proj_000.png  583.838123  194.408046   1044  370.288118  299.662461    951  583.877885  426.827885   1040
1    proj_001.png  579.575000  194.425000   1040  374.500000  299.500000    950  579.561185  427.169216   1046
2    proj_002.png  575.248322  194.516779   1043  378.820942  299.280628    955  575.251198  427.400767   1043
3    proj_003.png  570.636711  194.603250   1046  383.262774  299.176225    959  570.645315  427.597514   1046
4    proj_004.png  565.970532  194.635932   1052  387.954879  299.055614    953  565.922784  427.801716   1049
5    proj_005.png  561.063507  194.741232   1055  392.556021  298.937173    955  561.083491  428.056926   1054
6    proj_006.png  556.155156  194.843898   1057  397.171548  298.831590    956  556.136364  428.294508   1056
7    proj_007.png  551.186200  194.924386   1058  402.074658  298.716088    951  551.156339  428.461392   1049
8    proj_008.png  546.125118  194.968015   1063  407.011542  298.546695    953  546.059829  428.559354   1053
9    proj_009.png  540.854460  195.004695   1065  412.008395  298.483736    953  540.914934  428.646503   1058
10   proj_010.png  535.628410  195.047977   1063  417.097998  298.424658    949  535.602637  428.893597   1062
11   proj_011.png  530.216698  195.080675   1066  422.191983  298.296414    948  530.200565  429.016949   1062
12   proj_012.png  524.784774  195.141917   1064  427.357895  298.249474    950  524.759434  429.154717   1060
13   proj_013.png  519.194366  195.232864   1065  432.737671  298.173137    953  519.186441  429.312618   1062
14   proj_014.png  513.678236  195.284240   1066  437.965373  298.079748    953  513.683962  429.384906   1060
15   proj_015.png  508.000000  195.302347   1065  443.314406  298.041009    951  507.988732  429.453521   1065
16   proj_016.png  502.359962  195.282895   1064  448.682440  297.976866    951  502.357008  429.526515   1056
17   proj_017.png  496.610536  195.260583   1063  454.007353  297.947479    952  496.596209  429.512796   1055
18   proj_018.png  490.930841  195.342056   1070  459.486828  297.928346    949  490.912347  429.598492   1061
19   proj_019.png  485.014045  195.345506   1068  464.968553  297.928721    954  485.069549  429.566729   1064
20   proj_020.png  479.337383  195.335514   1070  470.349372  297.869247    956  479.323280  429.574929   1061
21   proj_021.png  473.552434  195.426030   1068  475.826360  297.895397    956  473.538606  429.575330   1062
22   proj_022.png  467.782039  195.331151   1069  481.186779  297.911857    953  467.816557  429.588899   1063
23   proj_023.png  462.007477  195.371028   1070  486.651674  297.888075    956  462.024436  429.616541   1064
24   proj_024.png  456.189139  195.320225   1068  492.042887  297.901674    956  456.203022  429.564684   1059
25   proj_025.png  450.516463  195.261524   1063  497.482105  297.970526    950  450.517569  429.531814   1053
26   proj_026.png  444.848315  195.301498   1068  502.928945  297.989551    957  444.840866  429.507533   1062
27   proj_027.png  439.128277  195.284644   1068  508.189727  298.037736    954  439.108920  429.470423   1065
28   proj_028.png  433.533898  195.239171   1062  513.570526  298.080000    950  433.539262  429.350993   1057
29   proj_029.png  428.013183  195.284369   1062  518.859852  298.175975    949  427.965160  429.308851   1062
30   proj_030.png  422.500000  195.131827   1062  524.064211  298.211579    950  422.498584  429.124646   1059
31   proj_031.png  417.058161  195.119137   1066  529.220588  298.285714    952  417.043478  429.017958   1058
32   proj_032.png  411.749765  195.036689   1063  534.307611  298.402748    946  411.738140  428.838710   1054
33   proj_033.png  406.429791  195.001898   1054  539.366525  298.477754    944  406.473231  428.660612   1046
34   proj_034.png  401.219604  194.979265   1061  544.284501  298.557325    942  401.153480  428.506196   1049
35   proj_035.png  396.111321  194.888679   1060  549.143455  298.763351    955  396.098672  428.403226   1054
36   proj_036.png  391.090823  194.785241   1057  554.033578  298.847849    953  391.159393  428.146110   1054
37   proj_037.png  386.226145  194.670802   1048  558.866109  298.923640    956  386.225166  427.919584   1057
38   proj_038.png  381.590649  194.597328   1048  563.307210  299.141066    957  381.567335  427.686724   1047
39   proj_039.png  376.888145  194.548757   1046  567.928721  299.188679    954  376.892925  427.526769   1046
