Phantom already exists, skipping: cuboid_phantom_3_wide.npy

################################################################################
Running cuboid=wide scenario=G3 N_ANGLES=180, K=3
view   0 | SOD= 570.464 mm | SDD= 705.315 mm | M= 1.236 | incident=3.4990°
[[ 138.86055    -552.827       -23.        ]
 [ -34.584156    129.47562      20.        ]
 [   0.14509286    0.03644481    0.        ]
 [   0.            0.            0.1496    ]]
               x1         y1  area1         x2         y2   area2          x3        y3  area3
range  867.461643  118.92514  944.0  867.46031  87.673904  1020.0  867.441127  56.05667  819.0
FAILURE!!!! Some beads might have been misidentified
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3
0    proj_000.png  731.675947  235.463252  898.0  285.162328  268.073507    653  731.693302  360.485311    851
1    proj_001.png  717.873754  235.647841  903.0  297.691603  267.867176    655  717.921114  360.926914    862
2    proj_002.png  703.643729  235.962264  901.0  310.157734  267.560490    653  703.768786  361.285549    865
3    proj_003.png  689.392265  236.213260  905.0  322.984544  267.374034    647  689.261272  361.779191    865
4    proj_004.png  674.509351  236.371837  909.0  335.900763  267.143511    655  674.458430  362.108545    866
5    proj_005.png  659.438116  236.561884  913.0  348.940367  266.974006    654  659.415420  362.486766    869
6    proj_006.png  644.159956  236.669206  919.0  362.129032  266.780338    651  644.101382  362.853687    868
7    proj_007.png  628.524590  236.879781  915.0  375.486781  266.586314    643  628.572088  363.019608    867
8    proj_008.png  612.678299  237.050164  917.0  388.868012  266.504658    644  612.813579  363.266974    869
9    proj_009.png  596.741062  237.214518  923.0  402.382582  266.424572    643  596.871379  363.552723    863
10   proj_010.png  580.601732  237.280303  924.0  415.955178  266.304482    647  580.699196  363.827784    871
11   proj_011.png  564.360991  237.384698  928.0  429.611455  266.119195    646  564.318757  363.945915    869
12   proj_012.png  547.916039  237.438105  929.0  443.335385  266.130769    650  548.017281  364.024194    868
13   proj_013.png  531.449679  237.449679  934.0  457.112977  266.106870    655  531.439080  364.173563    870
14   proj_014.png  514.824973  237.493063  937.0  470.799697  266.001517    659  514.963218  364.166667    870
15   proj_015.png  492.719199  134.072741    0.0  492.719199  249.156348   1599  498.324914  364.239954    871
16   proj_016.png  481.720339  237.500000  944.0  498.337423  265.984663    652  481.761741  364.201604    873
17   proj_017.png  465.191898  237.500000  938.0  512.292496  266.042879    653  465.121979  364.170311    869
18   proj_018.png  448.582265  237.467949  936.0  526.080670  266.073059    657  448.670886  364.143843    869
19   proj_019.png  432.214362  237.424437  933.0  539.814417  266.119632    652  432.103211  364.004587    872
20   proj_020.png  415.664516  237.395699  930.0  553.510046  266.177743    647  415.801833  363.941581    873
21   proj_021.png  399.476293  237.309267  928.0  567.140216  266.240370    649  399.467963  363.792906    874
22   proj_022.png  383.349620  237.145494  921.0  580.710280  266.408100    642  383.315607  363.516763    865
23   proj_023.png  367.397155  237.002188  914.0  594.224806  266.520930    645  367.390498  363.296640    863
24   proj_024.png  351.632898  236.867102  918.0  607.626543  266.583333    648  351.668958  363.045819    873
25   proj_025.png  336.074155  236.620502  917.0  620.955590  266.817764    653  336.002309  362.830254    866
26   proj_026.png  320.744262  236.543169  915.0  634.116031  266.977099    655  320.856978  362.385236    867
27   proj_027.png  305.690869  236.375138  909.0  647.099237  267.143511    655  305.783972  362.098722    861
28   proj_028.png  290.945796  236.241150  904.0  660.026235  267.393519    648  290.933798  361.744483    861
29   proj_029.png  276.510591  235.948718  897.0  672.857362  267.576687    652  276.510983  361.309827    865
30   proj_030.png  262.474916  235.685619  897.0  685.312500  267.888720    656  262.454861  360.915509    864
31   proj_031.png  248.680447  235.422346  895.0  697.759939  268.126911    654  248.677608  360.393904    853
32   proj_032.png  235.286517  235.164045  890.0  709.947773  268.373272    651  235.276146  359.910693    851
33   proj_033.png  222.260428  234.900789  887.0  721.937879  268.793939    660  222.245882  359.463529    850
34   proj_034.png  209.707207  234.614865  888.0  733.742470  269.010542    664  209.761737  358.836854    852
35   proj_035.png  197.536117  234.290068  886.0  745.221386  269.305723    664  197.491124  358.249704    845
36   proj_036.png  185.868119  233.982798  872.0  756.500000  269.731928    664  185.795024  357.704976    844
37   proj_037.png  174.788372  233.696512  860.0  767.495509  270.053892    668  174.560624  357.164466    833
38   proj_038.png  164.108303  233.341757  831.0  778.174556  270.347633    676  163.997540  356.675277    813
39   proj_039.png  153.580524  232.912609  801.0  788.784343  270.840473    677  153.533750  356.252500    800
40   proj_040.png  143.656999  232.607818  793.0  798.901034  271.155096    677  143.638432  355.572693    791
41   proj_041.png  134.173969  232.194588  776.0  808.502994  271.592814    668  134.234234  354.978121    777
42   proj_042.png  125.283355  231.916137  787.0  817.985007  272.026987    667  125.339646  354.276515    792
43   proj_043.png  117.054777  231.492994  785.0  827.275229  272.484709    654  117.054777  353.492994    785
44   proj_044.png  109.307791  231.063857  783.0  836.183767  272.964778    653  109.270166  352.758003    781
45   proj_045.png  101.904145  230.734456  772.0  844.685185  273.452160    648  101.903226  351.994839    775
46   proj_046.png   95.191656  230.222947  767.0  852.926493  273.886677    653   95.176623  351.196104    770
47   proj_047.png   88.984169  229.899736  758.0  860.597542  274.422427    651   88.994744  350.479632    761
48   proj_048.png   83.293263  229.449141  757.0  868.000000  274.871756    655   83.306983  349.748353    759
49   proj_049.png   78.144562  229.029178  754.0  875.001546  275.372488    647   78.131474  348.861886    753
50   proj_050.png   73.784946  228.607527  744.0  881.558422  275.940819    659   73.747651  348.135570    745
51   proj_051.png   69.794038  228.294038  738.0  887.711450  276.468702    655   69.737483  347.365359    739
52   proj_052.png   66.167347  227.700680  735.0  893.358859  276.977477    666   66.236092  346.584803    737
53   proj_053.png   63.407459  227.383978  724.0  898.662142  277.595777    663   63.365014  345.672176    726
54   proj_054.png   61.008264  226.903581  726.0  903.400888  278.130178    676   61.008264  344.903581    726
55   proj_055.png   59.312935  226.482615  719.0  907.829377  278.783383    674   59.275382  344.221140    719
56   proj_056.png   57.969144  226.115007  713.0  911.588235  279.183824    680   57.962238  343.314685    715
57   proj_057.png   57.295775  225.621127  710.0  915.017699  279.935103    678   57.295359  342.510549    711
58   proj_058.png   57.151261  225.217087  714.0  917.949422  280.465318    692   57.174581  341.701117    716
59   proj_059.png   57.500000  224.773371  706.0  920.296671  281.036179    691   57.452991  340.954416    702
60   proj_060.png   58.255714  224.368571  700.0  922.098854  281.637536    698   58.295552  340.074605    697
61   proj_061.png   59.750720  223.932277  694.0  923.514245  282.277778    702   59.782546  339.340486    699
62   proj_062.png   61.604885  223.518678  696.0  924.393211  282.859972    707   61.639769  338.511527    694
63   proj_063.png   64.136164  223.035139  683.0  924.640339  283.495063    709   64.048035  337.783115    687
64   proj_064.png   67.064611  222.773862  681.0  924.451477  284.234880    711   67.034074  336.973333    675
65   proj_065.png   70.480234  222.181552  683.0  923.597765  284.727654    716   70.440703  336.127379    683
66   proj_066.png   74.248895  221.892489  679.0  922.403606  285.418863    721   74.309417  335.420030    669
67   proj_067.png   78.782477  221.457704  662.0  920.500000  286.000000    722   78.796102  334.754123    667
68   proj_068.png   83.603293  221.059880  668.0  918.056164  286.554795    730   83.634731  333.943114    668
69   proj_069.png   88.875758  220.734848  660.0  915.129730  287.289189    740   88.939577  333.172205    662
70   proj_070.png   94.680303  220.290909  660.0  911.719512  287.752033    738   94.689602  332.535168    654
71   proj_071.png  100.846970  219.966667  660.0  907.639566  288.497290    738  100.785714  331.831307    658
72   proj_072.png  107.388379  219.530581  654.0  903.018592  289.035857    753  107.351064  331.118541    658
73   proj_073.png  114.382488  219.224270  651.0  897.852590  289.654714    753  114.411043  330.500000    652
74   proj_074.png  121.831804  218.873089  654.0  892.136126  290.193717    764  121.827217  329.840979    654
75   proj_075.png  129.621914  218.520062  648.0  885.845752  290.862745    765  129.663594  329.127496    651
76   proj_076.png  137.848160  218.180982  652.0  879.065891  291.355297    774  137.856260  328.533230    647
77   proj_077.png  146.418856  217.908810  647.0  871.696658  291.942159    778  146.428130  327.952087    647
78   proj_078.png  155.433846  217.529231  650.0  863.862770  292.546379    787  155.372308  327.372308    650
79   proj_079.png  164.742424  217.190909  660.0  855.476923  293.057692    780  164.675758  326.762121    660
80   proj_080.png  174.117293  217.042105  665.0  846.569409  293.615681    778  174.130435  326.125937    667
81   proj_081.png  183.867756  216.826152  673.0  837.071429  294.127551    784  183.888071  325.705449    679
82   proj_082.png  194.058296  216.436472  669.0  827.115433  294.666248    797  194.020896  325.047761    670
83   proj_083.png  204.624813  216.144993  669.0  816.585542  295.103614    830  204.585693  324.719821    671
84   proj_084.png  215.277693  215.952959  659.0  805.884481  295.723454    857  215.239098  324.163910    665
85   proj_085.png  226.322727  215.693939  660.0  794.890286  296.059429    875  226.387048  323.700301    664
86   proj_086.png  237.678407  215.460949  653.0  783.011299  296.552542    885  237.684290  323.243202    662
87   proj_087.png  249.201835  215.238532  654.0  770.884091  296.987500    880  249.174962  322.846154    663
88   proj_088.png  261.000000  215.082192  657.0  758.157303  297.406742    890  261.029096  322.378254    653
89   proj_089.png  272.966309  214.820827  653.0  745.094595  297.900901    888  273.031674  322.027149    663
90   proj_090.png  285.138462  214.616923  650.0  731.630580  298.204241    896  285.176560  321.700152    657
91   proj_091.png  297.652241  214.446677  647.0  717.834994  298.550388    903  297.644275  321.282443    655
92   proj_092.png  310.184783  214.327640  644.0  703.660000  298.868889    900  310.187404  321.032258    651
93   proj_093.png  322.953632  214.171561  647.0  689.389812  299.254707    903  322.950693  320.673344    649
94   proj_094.png  335.904836  214.009360  641.0  674.500000  299.500000    908  335.931994  320.443586    647
95   proj_095.png  348.901716  213.806552  641.0  659.449451  299.758242    910  348.961774  320.178899    654
96   proj_096.png  362.090625  213.626563  640.0  644.130482  300.065789    912  362.165138  319.981651    654
97   proj_097.png  375.482003  213.630673  639.0  628.564074  300.257393    913  375.454121  319.692068    643
98   proj_098.png  388.866980  213.499218  639.0  612.811135  300.449782    916  388.858696  319.566770    644
99   proj_099.png  402.336478  213.476415  636.0  596.751357  300.561346    921  402.385335  319.446178    641
100  proj_100.png  415.953052  213.461659  639.0  580.601722  300.684607    929  415.953704  319.282407    648
101  proj_101.png  429.604430  213.379747  632.0  564.393743  300.836030    927  429.590698  319.127132    645
102  proj_102.png  443.282812  213.351562  640.0  547.915957  300.997872    940  443.317485  319.107362    652
103  proj_103.png  457.081123  213.396256  641.0  531.474304  301.117773    934  457.074695  318.984756    656
104  proj_104.png  470.858255  213.383178  642.0  514.911299  301.115100    947  470.834598  318.893778    659
105  proj_105.png  484.720207  118.704453    0.0  484.720207  213.443869    579  492.844575  308.183284   1364
106  proj_106.png  498.453507  118.574860    0.0  498.453507  213.460033    613  488.451370  308.345205   1460
107  proj_107.png  512.283931  213.312012  641.0  465.183457  301.109226    943  512.265649  318.923664    655
108  proj_108.png  526.098592  213.394366  639.0  448.619251  301.103743    935  526.032061  318.972519    655
109  proj_109.png  539.821596  213.367762  639.0  432.142094  301.001068    936  539.820276  319.098310    651
110  proj_110.png  553.500000  213.403785  634.0  415.707974  300.880388    928  553.500000  319.157895    646
111  proj_111.png  567.154088  213.440252  636.0  399.488147  300.690733    928  567.176471  319.275542    646
112  proj_112.png  580.776025  213.481073  634.0  383.377850  300.573290    921  580.723869  319.425897    641
113  proj_113.png  594.198128  213.556942  641.0  367.376496  300.414581    919  594.231726  319.573872    643
114  proj_114.png  607.667712  213.641066  638.0  351.628540  300.229847    918  607.651163  319.782946    645
115  proj_115.png  620.976636  213.618380  642.0  336.121577  299.950712    913  620.923430  320.039816    653
116  proj_116.png  634.117188  213.818750  640.0  320.708333  299.743421    912  634.082695  320.209801    653
117  proj_117.png  647.147287  214.024806  645.0  305.686059  299.497256    911  647.137558  320.469861    647
118  proj_118.png  660.040000  214.207692  650.0  290.981257  299.260198    907  660.053599  320.742726    653
119  proj_119.png  672.815217  214.327640  644.0  276.500000  298.861915    898  672.800613  321.050613    652
120  proj_120.png  685.347759  214.446677  647.0  262.470457  298.525084    897  685.347626  321.324655    653
121  proj_121.png  697.842835  214.628659  649.0  248.654321  298.168350    891  697.809091  321.727273    660
122  proj_122.png  709.946483  214.860856  654.0  235.285235  297.731544    894  709.950151  322.039275    662
123  proj_123.png  721.969559  215.057839  657.0  222.282022  297.362921    890  721.906870  322.419847    655
124  proj_124.png  733.726300  215.264526  654.0  209.719139  296.983012    883  733.707132  322.874052    659
125  proj_125.png  745.226300  215.500000  654.0  197.500000  296.500000    880  745.201504  323.252632    665
126  proj_126.png  756.475684  215.729483  658.0  185.834286  296.061714    875  756.521805  323.733835    665
127  proj_127.png  767.521870  215.983409  663.0  174.781542  295.646028    856  767.478326  324.207773    669
128  proj_128.png  778.173913  216.230885  667.0  164.130751  295.213075    826  778.213967  324.739970    673
129  proj_129.png  788.769578  216.519578  664.0  153.572500  294.623750    800  788.748148  325.162963    675
130  proj_130.png  798.898659  216.847988  671.0  143.667949  294.034615    780  798.883481  325.789086    678
131  proj_131.png  808.544361  216.980451  665.0  134.185328  293.523810    777  808.482707  326.227068    665
132  proj_132.png  817.959029  217.200303  659.0  125.335045  293.020539    779  817.963636  326.821212    660
133  proj_133.png  827.284615  217.550769  650.0  117.048718  292.444872    780  827.292758  327.400616    649
134  proj_134.png  836.216383  217.887172  647.0  109.308880  291.922780    777  836.241538  327.947692    650
135  proj_135.png  844.721793  218.205564  647.0  101.925878  291.266580    769  844.712733  328.555901    644
136  proj_136.png  852.861111  218.560185  648.0   95.198953  290.840314    764  852.899237  329.201527    655
137  proj_137.png  860.661562  218.946401  653.0   88.992105  290.159211    760  860.665649  329.905344    655
138  proj_138.png  868.040000  219.212308  650.0   83.271028  289.630174    749  868.017002  330.567233    647
139  proj_139.png  875.027735  219.665639  649.0   78.136605  288.909814    754  874.986301  331.165906    657
140  proj_140.png  881.549317  219.978756  659.0   73.730458  288.412399    742  881.559939  331.916540    659
141  proj_141.png  887.756061  220.275758  660.0   69.793801  287.684636    742  887.726859  332.619120    659
