Phantom already exists, skipping: cuboid_phantom_3_small.npy

################################################################################
Running cuboid=small scenario=G2 N_ANGLES=360, K=3
view   0 | SOD= 570.046 mm | SDD= 696.006 mm | M= 1.221 | incident=0.2470°
[[ 119.47323    -557.34204      -7.        ]
 [ -25.864782    123.32077      -7.        ]
 [   0.14616601    0.03186934    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3
0    proj_000.png  518.292267  296.719528    763  430.500000  435.736695    714  518.313237  578.246396    763
1    proj_001.png  517.116492  296.697644    764  431.669916  435.772981    718  517.082353  578.284967    765
2    proj_002.png  515.902760  296.693824    761  432.907202  435.757618    722  515.925099  578.340342    761
3    proj_003.png  514.748031  296.674541    762  434.092798  435.757618    722  514.748031  578.325459    762
4    proj_004.png  513.405195  296.679221    770  435.327298  435.725627    718  513.409857  578.378729    771
5    proj_005.png  512.133683  296.686763    763  436.539106  435.691341    716  512.137076  578.425587    766
6    proj_006.png  510.972549  296.667974    765  437.732591  435.722841    718  510.925781  578.479167    768
7    proj_007.png  509.604410  296.651102    771  439.037088  435.693681    728  509.621134  578.451031    776
8    proj_008.png  508.345006  296.634241    771  440.358726  435.721607    722  508.360000  578.556129    775
9    proj_009.png  507.001304  296.598435    767  441.540390  435.688022    718  507.002601  578.557867    769
10   proj_010.png  505.767141  296.554981    773  442.841379  435.754483    725  505.763192  578.656371    777
11   proj_011.png  504.417949  296.575641    780  444.097796  435.746556    726  504.427835  578.658505    776
12   proj_012.png  503.044156  296.538961    770  445.413555  435.609959    723  503.049287  578.675746    771
13   proj_013.png  501.780645  296.523871    775  446.656944  435.666667    720  501.750968  578.741935    775
14   proj_014.png  500.397436  296.500000    780  448.000000  435.718407    728  500.382239  578.776062    777
15   proj_015.png  499.000000  296.500000    768  449.403873  435.600277    723  499.019405  578.698577    773
16   proj_016.png  497.598456  296.480051    777  450.612188  435.613573    722  497.686375  578.822622    778
17   proj_017.png  496.254215  296.473411    771  452.020633  435.715268    727  496.330759  578.837838    777
18   proj_018.png  494.961039  296.422078    770  453.426796  435.599448    724  494.896507  578.761966    773
19   proj_019.png  493.501935  296.480000    775  454.618585  435.615811    721  493.520052  578.857697    773
20   proj_020.png  492.051546  296.422680    776  456.033058  435.698347    726  492.086452  578.789677    775
21   proj_021.png  490.772610  296.471576    774  457.446750  435.605809    723  490.768135  578.854922    772
22   proj_022.png  489.235446  296.490298    773  458.650485  435.603329    721  489.212711  578.866407    771
23   proj_023.png  487.954780  296.422481    774  460.213889  435.693056    720  487.898327  578.831403    777
24   proj_024.png  486.447436  296.435897    780  461.500000  435.598338    722  486.459948  578.918605    774
25   proj_025.png  485.049159  296.442432    773  462.783032  435.636996    719  485.073643  578.843669    774
26   proj_026.png  483.673548  296.459355    775  464.312067  435.604716    721  483.671835  578.888889    774
27   proj_027.png  482.157623  296.408269    774  465.596685  435.596685    724  482.184755  578.854005    774
28   proj_028.png  480.848052  296.425974    770  467.000000  435.653315    724  480.815245  578.854005    774
29   proj_029.png  479.321750  296.420849    777  468.414938  435.614108    723  479.319176  578.947233    777
30   proj_030.png  477.970437  296.476864    778  469.689751  435.585873    722  477.891473  578.838501    774
31   proj_031.png  476.500000  296.403599    778  471.187240  435.607490    721  476.520104  578.976654    771
32   proj_032.png  475.000000  296.500000    780  472.533793  435.594483    725  475.074935  578.859173    774
33   proj_033.png  473.666667  296.420513    780  473.893646  435.638122    724  473.682111  578.927928    777
34   proj_034.png  472.126923  296.441026    780  475.322759  435.583448    725  472.223077  578.866667    780
35   proj_035.png  470.821337  296.403599    778  476.591160  435.593923    724  470.797941  578.861004    777
36   proj_036.png  469.317073  296.430039    779  478.115702  435.670799    726  469.312741  578.951094    777
37   proj_037.png  467.970437  296.476864    778  479.452282  435.632089    723  467.899614  578.845560    777
38   proj_038.png  466.500000  296.428571    784  480.781466  435.612725    723  466.505792  578.936937    777
39   proj_039.png  465.038760  296.425065    774  482.255556  435.615278    720  465.015464  578.860825    776
40   proj_040.png  463.658065  296.423226    775  483.529086  435.623269    722  463.709845  578.900259    772
41   proj_041.png  462.133247  296.416559    773  484.918733  435.713499    726  462.193548  578.872258    775
42   proj_042.png  460.863049  296.396641    774  486.369806  435.598338    722  460.803109  578.853627    772
43   proj_043.png  459.307891  296.486417    773  487.630194  435.598338    722  459.268135  578.862694    772
44   proj_044.png  457.950968  296.402581    775  489.077241  435.693793    725  457.963918  578.798969    776
45   proj_045.png  456.528351  296.471649    776  490.462707  435.592541    724  456.566062  578.869171    772
46   proj_046.png  455.055484  296.442581    775  491.684647  435.626556    723  455.110682  578.821107    777
47   proj_047.png  453.849546  296.452659    771  493.077455  435.697095    723  453.825581  578.825581    774
48   proj_048.png  452.395647  296.441741    781  494.500000  435.610497    724  452.349166  578.810013    779
49   proj_049.png  451.000000  296.500000    768  495.791148  435.637621    723  450.966408  578.713178    774
50   proj_050.png  449.601542  296.500000    778  497.109267  435.710927    723  449.622423  578.833763    776
51   proj_051.png  448.222080  296.528883    779  498.480000  435.604138    725  448.235219  578.771208    778
52   proj_052.png  446.953186  296.559168    769  499.767956  435.708564    724  446.936528  578.690415    772
53   proj_053.png  445.548139  296.611040    779  501.125691  435.723757    724  445.519949  578.639640    777
54   proj_054.png  444.119171  296.553109    772  502.394737  435.619114    722  444.138601  578.689119    772
55   proj_055.png  442.918499  296.536869    773  503.649655  435.662069    725  442.908031  578.624352    772
56   proj_056.png  441.548139  296.611040    779  504.980796  435.740741    729  441.566281  578.588160    777
57   proj_057.png  440.219481  296.602597    770  506.260028  435.728907    723  440.144703  578.538760    774
58   proj_058.png  438.980366  296.643979    764  507.500000  435.676880    718  438.972727  578.514286    770
59   proj_059.png  437.676203  296.652796    769  508.731944  435.743056    720  437.649871  578.520672    774
60   proj_060.png  436.339844  296.665365    768  510.034341  435.700549    728  436.381137  578.453488    774
61   proj_061.png  435.114474  296.682895    760  511.271967  435.743375    717  435.091623  578.403141    764
62   proj_062.png  433.885827  296.692913    762  512.447552  435.707692    715  433.887287  578.344692    763
63   proj_063.png  432.704188  296.685864    764  513.687587  435.740586    717  432.671018  578.310705    766
64   proj_064.png  431.365183  296.769634    764  514.907202  435.757618    722  431.370757  578.234987    766
65   proj_065.png  430.173001  296.694626    763  516.071923  435.760719    723  430.158170  578.277124    765
66   proj_066.png  429.011780  296.655759    764  517.309623  435.768480    717  428.994785  578.258149    767
67   proj_067.png  427.841415  296.705111    763  518.415385  435.732867    715  427.795276  578.212598    762
68   proj_068.png  426.626807  296.802891    761  519.591922  435.740947    718  426.579292  578.152031    763
69   proj_069.png  425.520368  296.847569    761  520.701389  435.791667    720  425.511780  578.094241    764
70   proj_070.png  424.353562  296.794195    758  521.847645  435.785319    722  424.356955  578.120735    762
71   proj_071.png  423.195026  296.804974    764  522.961219  435.801939    722  423.196335  578.044503    764
72   proj_072.png  422.081046  296.784314    765  524.040055  435.843923    724  422.121887  578.058978    763
73   proj_073.png  421.038008  296.823067    763  525.197514  435.848066    724  421.028758  578.028758    765
74   proj_074.png  419.971091  296.850197    761  526.255878  435.839557    723  419.955614  577.984334    766
75   proj_075.png  418.971091  296.850197    761  527.293223  435.843707    723  418.896325  577.950131    762
76   proj_076.png  417.892105  296.856579    760  528.310249  435.855956    722  417.896325  577.950131    762
77   proj_077.png  416.831135  296.889182    758  529.330097  435.862691    721  416.859211  577.859211    760
78   proj_078.png  415.840159  296.907530    757  530.330097  435.862691    721  415.873518  577.844532    759
79   proj_079.png  414.869221  296.933950    757  531.330097  435.862691    721  414.850727  577.787318    757
80   proj_080.png  413.899868  296.928854    759  532.275862  435.900690    725  413.914586  577.759527    761
81   proj_081.png  412.950000  296.896053    760  533.246897  435.947586    725  412.961842  577.668421    760
82   proj_082.png  412.000000  296.899868    759  534.162759  436.000000    725  412.018421  577.632895    760
83   proj_083.png  411.110818  296.947230    758  535.100551  436.004132    726  411.091864  577.610236    762
84   proj_084.png  410.232190  296.992084    758  535.958506  436.000000    723  410.182781  577.574834    755
85   proj_085.png  409.387782  297.000000    753  536.773040  436.019257    727  409.281709  577.507343    749
86   proj_086.png  408.557464  297.011889    757  537.641379  436.081379    725  408.554217  577.315930    747
87   proj_087.png  407.688329  297.043767    754  538.518672  436.081604    723  407.771883  577.370027    754
88   proj_088.png  406.975968  297.028037    749  539.314483  436.089655    725  406.887268  577.350133    754
89   proj_089.png  406.101333  297.089333    750  540.098901  436.103022    728  406.102941  577.233957    748
90   proj_090.png  405.316069  297.104914    753  540.975138  436.124309    724  405.329787  577.206117    752
91   proj_091.png  404.672872  297.150266    752  541.670816  436.125864    723  404.644947  577.179521    752
92   proj_092.png  403.937250  297.158879    749  542.386963  436.156727    721  403.894526  577.134846    749
93   proj_093.png  403.152610  297.143240    747  543.103591  436.204420    724  403.152406  577.074866    748
94   proj_094.png  402.500000  297.168449    748  543.858127  436.210744    726  402.487968  577.032086    748
95   proj_095.png  401.899733  297.175134    748  544.530471  436.259003    722  401.949333  577.032000    750
96   proj_096.png  401.146862  297.210948    749  545.158621  436.245517    725  401.142857  576.867824    749
97   proj_097.png  400.654667  297.225333    750  545.816552  436.220690    725  400.627164  576.933422    751
98   proj_098.png  400.050667  297.253333    750  546.495159  436.291840    723  400.046605  576.841545    751
99   proj_099.png  399.361333  297.230667    750  547.051984  436.268126    731  399.388000  576.832000    750
100  proj_100.png  398.941333  297.317333    750  547.657025  436.318182    726  398.993342  576.731025    751
101  proj_101.png  398.318182  297.358289    748  548.168956  436.252747    728  398.297730  576.675567    749
102  proj_102.png  397.890374  297.414439    748  548.753762  436.294118    731  397.873164  576.564753    749
103  proj_103.png  397.331090  297.394347    743  549.193989  436.318306    732  397.338731  576.550607    741
104  proj_104.png  396.955764  297.434316    746  549.769441  436.351978    733  396.944075  576.475366    751
105  proj_105.png  396.563265  297.502041    735  550.194254  436.343365    731  396.591588  576.469471    737
106  proj_106.png  396.126836  297.488652    749  550.597811  436.432285    731  396.129506  576.419226    749
107  proj_107.png  395.757047  297.493960    745  551.035422  436.371935    734  395.795973  576.338255    745
108  proj_108.png  395.383469  297.513550    738  551.480110  436.454047    729  395.375000  576.237903    744
109  proj_109.png  395.074866  297.521390    748  551.878747  436.412807    734  395.059920  576.179760    751
110  proj_110.png  394.759085  297.551817    743  552.201910  436.401091    733  394.740642  576.128342    748
111  proj_111.png  394.500000  297.500000    732  552.519890  436.454047    729  394.455034  576.077852    745
112  proj_112.png  394.200809  297.595687    742  552.737772  436.432065    736  394.227882  576.020107    746
113  proj_113.png  393.994602  297.608637    741  553.066940  436.468579    732  393.993307  575.971888    747
114  proj_114.png  393.737838  297.640541    740  553.454047  436.480110    729  393.793801  575.863881    742
115  proj_115.png  393.532609  297.641304    736  553.519836  436.493844    731  393.626181  575.851552    741
116  proj_116.png  393.441576  297.627717    736  553.659371  436.519836    731  393.464865  575.751351    740
117  proj_117.png  393.304993  297.759784    741  553.967436  436.550882    737  393.314016  575.741240    742
118  proj_118.png  393.206478  297.771930    741  554.073072  436.606225    739  393.221922  575.688769    739
119  proj_119.png  393.069799  297.845638    745  554.289402  436.547554    736  393.099865  575.581646    741
120  proj_120.png  393.005391  297.866577    742  554.413370  436.537517    733  393.075574  575.549258    741
121  proj_121.png  393.016151  297.884253    743  554.492497  436.519782    733  393.000000  575.500000    742
122  proj_122.png  393.000000  297.921938    743  554.500000  436.539510    734  393.009472  575.442490    739
123  proj_123.png  393.017473  297.932796    744  554.530529  436.579376    737  393.020243  575.360324    741
124  proj_124.png  393.086253  297.927224    742  554.542120  436.596467    736  393.055631  575.318860    737
125  proj_125.png  393.149051  297.964770    738  554.536486  436.632432    740  393.159459  575.209459    740
126  proj_126.png  393.209239  297.955163    736  554.500678  436.597015    737  393.221467  575.154891    736
127  proj_127.png  393.312076  298.000000    737  554.434783  436.612772    736  393.310298  575.172087    738
