Phantom already exists, skipping: cuboid_phantom_3_small.npy

################################################################################
Running cuboid=small scenario=G4 N_ANGLES=360, K=3
view   0 | SOD= 570.594 mm | SDD= 809.425 mm | M= 1.419 | incident=3.4005°
[[  33.809837   -568.99725     -26.        ]
 [ -13.700238    237.60535      22.        ]
 [   0.14935194    0.00861158    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1          x2          y2  area2          x3          y3  area3
0    proj_000.png  537.747792  145.050049   1019  413.193814  301.876289    970  537.715400  471.446394   1026
1    proj_001.png  536.523438  145.061523   1024  414.466049  301.861111    972  536.534113  471.500000   1026
2    proj_002.png  535.309873  145.134897   1023  415.742533  301.855819    971  535.368932  471.558252   1030
3    proj_003.png  534.051910  145.176298   1021  416.968270  301.737973    977  534.057617  471.689453   1024
4    proj_004.png  532.741715  145.153996   1026  418.224511  301.738414    971  532.727713  471.708333   1032
5    proj_005.png  531.421359  145.226214   1030  419.524793  301.635331    968  531.410853  471.762597   1032
6    proj_006.png  530.076848  145.198444   1028  420.869207  301.658084    971  530.074757  471.866990   1030
7    proj_007.png  528.788086  145.191406   1024  422.213552  301.598563    974  528.765107  471.939571   1026
8    proj_008.png  527.340488  145.218537   1025  423.517526  301.479381    970  527.340820  472.106445   1024
9    proj_009.png  525.985451  145.195926   1031  424.926880  301.405767    971  525.986460  472.141199   1034
10   proj_010.png  524.577299  145.308219   1022  426.186983  301.341942    968  524.610136  472.264133   1026
11   proj_011.png  523.210117  145.262646   1028  427.730928  301.337113    970  523.258721  472.361434   1032
12   proj_012.png  521.705366  145.276098   1025  429.058945  301.306101    967  521.693204  472.309709   1030
13   proj_013.png  520.406829  145.315122   1025  430.523711  301.229897    970  520.338835  472.477670   1030
14   proj_014.png  518.734951  145.325243   1030  431.957732  301.245361    970  518.745894  472.433816   1035
15   proj_015.png  517.419512  145.324878   1025  433.275258  301.141237    970  517.399225  472.513566   1032
16   proj_016.png  515.837994  145.324012   1037  434.869207  301.177137    971  515.873796  472.531792   1038
17   proj_017.png  514.417231  145.333011   1033  436.231795  301.116923    975  514.393237  472.579710   1035
18   proj_018.png  512.823699  145.340077   1038  437.784979  301.110082    972  512.873917  472.608277   1039
19   proj_019.png  511.375605  145.372701   1033  439.245885  301.077160    972  511.340077  472.686898   1038
20   proj_020.png  509.777671  145.337825   1039  440.742300  301.067762    974  509.807322  472.696532   1038
