
################################################################################
Running scenario=G0 N_ANGLES=360, K=4
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
0    proj_000.png  509.691892  62.383784    740  424.650585  204.666667    684  550.653251  341.150155    646  509.729620  502.967391    736
1    proj_001.png  507.087838  62.377027    740  424.997089  204.627365    687  552.523292  341.229814    644  507.128901  503.002714    737
2    proj_002.png  504.587517  62.462687    737  425.364431  204.638484    686  554.409302  341.423256    645  504.515646  503.027211    735
3    proj_003.png  501.971736  62.376851    743  425.613139  204.614599    685  556.176471  341.416409    646  502.010753  503.057796    744
4    proj_004.png  499.352624  62.388964    743  426.020319  204.587808    689  557.978091  341.503912    639  499.376184  503.138024    739
5    proj_005.png  496.814765  62.409396    745  426.481105  204.536337    688  559.753106  341.560559    644  496.874832  503.137281    743
6    proj_006.png  494.119463  62.357047    745  426.885798  204.505124    683  561.446345  341.670295    643  494.132791  503.136856    738
7    proj_007.png  491.617450  62.370470    745  427.211144  204.526393    682  563.073846  341.792308    650  491.606225  503.173207    739
8    proj_008.png  488.979920  62.364123    747  427.581766  204.473227    691  564.860896  341.834621    647  488.928668  503.196501    743
9    proj_009.png  486.311081  62.333778    749  428.071533  204.446715    685  566.516229  341.984544    647  486.351752  503.195418    742
10   proj_010.png  483.793057  62.383178    749  428.545718  204.412192    689  568.100000  342.087692    650  483.829071  503.197847    743
11   proj_011.png  481.090788  62.360481    749  429.017467  204.406114    687  569.761538  342.124615    650  481.051007  503.220134    745
12   proj_012.png  478.500000  62.290667    750  429.500000  204.387755    686  571.248848  342.172043    651  478.545946  503.183784    740
13   proj_013.png  475.897333  62.377333    750  429.976676  204.365889    686  572.926154  342.303077    650  475.866935  503.268817    744
14   proj_014.png  473.238667  62.405333    750  430.528467  204.289051    685  574.310185  342.424383    648  473.254032  503.233871    744
15   proj_015.png  470.757656  62.356858    751  431.049635  204.296350    685  575.886154  342.572308    650  470.742282  503.255034    745
16   proj_016.png  468.061252  62.411451    751  431.610219  204.188321    685  577.272171  342.584098    654  468.021419  503.251673    747
17   proj_017.png  465.356568  62.340483    746  432.090776  204.257687    683  578.779817  342.709480    654  465.368280  503.241935    744
18   proj_018.png  462.840000  62.374667    750  432.680820  204.140556    683  580.123100  342.819149    658  462.853495  503.243280    744
19   proj_019.png  460.228610  62.381016    748  433.340146  204.105109    685  581.647866  342.905488    656  460.210243  503.219677    742
