
################################################################################
Running scenario=G1 N_ANGLES=360, K=7
view   0 | SOD= 570.551 mm | SDD= 705.315 mm | M= 1.236 | incident=3.4990°
[[  81.309204  -564.17444    -25.       ]
 [ -18.649195   132.69592     18.       ]
 [   0.1481441    0.0208203    0.       ]
 [   0.           0.           0.1496   ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5          x6          y6  area6          x7          y7  area7
0    proj_000.png  512.768944  75.081988    805  397.863578  151.294723    777  418.632353  223.727273    748  438.338008  292.280505    713  547.374648  366.149296    710  530.497361  448.162269    758  512.736181  535.050251    796
1    proj_001.png  510.000000  75.039950    801  395.823834  151.250000    772  418.878505  223.757009    749  440.733427  292.294781    709  549.296610  366.230226    708  530.194481  448.373193    761  510.076633  535.075377    796
2    proj_002.png  507.411111  75.071605    810  393.804150  151.202335    771  419.267023  223.687583    749  443.352034  292.248247    713  551.208215  366.308782    706  529.926413  448.425756    761  507.433375  535.270237    803
3    proj_003.png  504.782447  75.079110    809  391.804150  151.202335    771  419.644295  223.652349    745  445.841515  292.185133    713  553.071531  366.389127    699  529.608126  448.553080    763  504.710362  535.308365    801
4    proj_004.png  502.039752  75.000000    805  389.846354  151.246094    768  419.962416  223.613423    745  448.401408  292.211268    710  554.951498  366.479315    701  529.215506  448.657030    761  502.097772  535.293317    808
5    proj_005.png  499.383663  75.037129    808  387.895698  151.229465    767  420.247978  223.548518    742  450.916084  292.158042    715  556.864865  366.463727    703  528.877470  448.646904    759  499.391034  535.325031    803
6    proj_006.png  496.647349  75.017263    811  386.043194  151.217277    764  420.737550  223.543742    743  453.442090  292.138418    708  558.747875  366.565156    706  528.522996  448.816032    761  496.634207  535.338327    801
7    proj_007.png  493.913366  75.018564    808  384.174084  151.163613    764  421.022973  223.532432    740  455.941259  292.151049    715  560.603720  366.672389    699  528.104222  448.844327    758  493.880099  535.370828    809
8    proj_008.png  491.232386  75.017305    809  382.430628  151.134817    764  421.500000  223.500000    732  458.510578  292.102962    709  562.404011  366.783668    698  527.754271  448.919842    761  491.326683  535.452618    802
9    proj_009.png  488.500000  75.000000    808  380.569935  151.124183    765  421.983762  223.447903    739  461.068531  292.088112    715  564.219686  366.796006    701  527.274639  448.964520    761  488.532419  535.416459    802
10   proj_010.png  485.726380  75.058896    815  378.806833  151.110381    761  422.351351  223.431081    740  463.618715  292.086592    716  565.833096  366.895863    701  526.900262  449.006562    762  485.705590  535.442236    805
