lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,coplanar,3,6,54,G2,run152_u0065064.log,215.58583539,8,1703169.611737,1038734.193837,39.01169991063701,157.8264,20.82448,86.80545206632097,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-9.77414305,-20.09272424,162.8985576,0.0,0.0,0.0,18.18464619,5.31700307,8.86704734,0.0,0.0,5.22585695,-8.09272424,184.8985576,0.0,0.0,0.0,3.18464619,5.31700307,8.86704734
GN,coplanar,3,6,54,G3,run153_u0065092.log,106.44427012,7,1595727.823289,841943.859637,47.237627410566446,57.84691,13.33255,76.95201005550686,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-12.22399701,-8.09153491,49.65924774,0.0,0.0,0.0,19.74155148,4.7528422,15.90619376,0.0,0.0,5.77600299,-0.09153491,74.65924774,0.0,0.0,0.0,-5.25844852,4.7528422,15.90619376
GN,coplanar,3,6,54,G4,run154_u0065004.log,177.42894710000002,9,1132434.940584,895859.393525,20.89087316018325,62.56602,15.25945,75.61064296562256,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-13.3247806,-8.01529745,130.39208375,0.0,0.0,0.0,0.26433931,5.61290809,18.34821652,0.0,0.0,-6.3247806,-6.01529745,138.39208375,0.0,0.0,0.0,-2.73566069,5.61290809,18.34821652
GN,coplanar,3,9,81,G0,run155_u0065064.log,220.93361549,11,1510314.717969,1269439.533247,15.948674925575618,33.87955,40.90716,-20.742926042406097,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-8.62333788,-7.76400773,164.85919452,0.0,0.0,0.0,8.35934902,3.12260843,18.17049171,0.0,0.0,1.37666212,-12.76400773,183.85919452,0.0,0.0,0.0,-1.64065098,3.12260843,18.17049171
GN,coplanar,3,9,81,G1,run156_u0065092.log,115.54530243,7,1726471.865591,1397921.961448,19.030133690046082,80.84283,60.27441,25.442478943401664,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.37857236,-10.38989523,79.12090765,0.0,0.0,0.0,1.16964337,7.58375495,8.24181561,0.0,0.0,-0.37857236,-4.38989523,91.12090765,0.0,0.0,0.0,-3.83035663,7.58375495,8.24181561
GN,coplanar,3,9,81,G2,run157_u0065004.log,131.87923916,7,2327444.361282,1939475.053939,16.669326828904264,86.30968,15.13303,82.46659007425353,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-11.20048459,-8.13107246,83.39326116,0.0,0.0,0.0,12.547559,5.73192116,10.63317289,0.0,0.0,3.79951541,3.86892754,105.39326116,0.0,0.0,0.0,-2.452441,5.73192116,10.63317289
GN,coplanar,3,9,81,G3,run158_u0065064.log,60.792232850000005,8,2551407.023244,1661069.232266,34.8959528161044,32.67582,23.00518,29.595707162054392,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-7.20033594,-6.43825335,-12.99707602,0.0,0.0,0.0,10.88442065,11.26960462,11.04271419,0.0,0.0,10.79966406,1.56174665,12.00292398,0.0,0.0,0.0,-14.11557935,11.26960462,11.04271419
GN,coplanar,3,9,81,G4,run159_u0065092.log,36.30337775,7,1845119.23981,1836593.420244,0.4620741782996074,23.574,30.45973,-29.209001442266896,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-10.17228612,-10.41690365,-13.16180492,0.0,0.0,0.0,6.96324002,8.30234022,7.28680282,0.0,0.0,-3.17228612,-8.41690365,-5.16180492,0.0,0.0,0.0,3.96324002,8.30234022,7.28680282
GN,coplanar,3,10,90,G0,run160_u0065004.log,333.14898102,11,2187296.994188,1537290.26338,29.71735125751887,76.23134,21.06621,72.36542083610233,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-14.79864541,-16.21195009,269.53600904,0.0,0.0,0.0,0.60306965,4.4343147,4.77113143,0.0,0.0,-4.79864541,-21.21195009,288.53600904,0.0,0.0,0.0,-9.39693035,4.4343147,4.77113143
GN,coplanar,3,10,90,G1,run161_u0065064.log,108.90499847000001,9,2125298.371194,1747896.234587,17.75760720105263,62.55979,11.92805,80.93335991057515,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-9.72368522,-8.11747467,78.99425852,0.0,0.0,0.0,5.13730274,3.58614515,8.34613217,0.0,0.0,-3.72368522,-2.11747467,90.99425852,0.0,0.0,0.0,0.13730274,3.58614515,8.34613217
GN,coplanar,3,10,90,G2,run162_u0065092.log,263.05598882,8,3327158.825857,2039231.507459,38.709523224105766,121.2212,11.92764,90.16043398349464,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-11.62724071,-23.85455146,201.34377548,0.0,0.0,0.0,5.72983037,3.73865773,11.47607523,0.0,0.0,3.37275929,-11.85455146,223.34377548,0.0,0.0,0.0,-9.27016963,3.73865773,11.47607523
