K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
2,9,16.184,0.000013,90.126162,43,9.764,0.000004,25.562932,35,27.970,0.000054,196.505901,29,16.109,0.000036,86.479424,37,-0.013,0.000000,0.018968,39
3,9,11.633,0.000009,66.254827,36,-0.035,0.000000,0.004507,45,20.698,0.000030,189.328902,39,11.752,0.000007,66.718528,40,-0.043,0.000000,0.008273,34
4,9,0.057,0.000001,0.038253,42,-0.042,0.000000,0.000000,28,0.024,0.000001,0.030711,55,10.049,0.000162,994.410135,45,0.013,0.000000,0.000000,24
5,9,-0.067,0.000001,0.041620,56,0.073,0.000001,0.031627,43,-0.024,0.000001,0.058762,52,-0.014,0.000000,0.010001,57,-0.026,0.000001,0.018898,38
6,9,0.011,0.000000,0.015176,51,-0.042,0.000000,0.033701,38,0.117,0.000000,0.098451,53,0.068,0.000001,0.052842,67,0.055,0.000001,0.048782,31
7,9,0.027,0.000001,0.065333,38,0.059,0.000001,0.067811,36,-0.021,0.000000,0.000000,49,0.035,0.000000,0.032330,56,0.045,0.000000,0.066517,30
1,10,1.524,0.000001,0.015022,27,1.152,0.000000,0.005054,26,3.443,0.000001,0.117566,21,3.099,0.000001,0.079419,28,1.012,0.000000,0.006418,23
2,10,17.255,0.000017,128.215738,31,13.299,0.000012,97.254623,29,12.274,0.000012,46.324545,37,13.717,0.000020,70.007270,51,6.305,0.000005,9.503595,24
3,10,0.128,0.000000,0.016984,51,0.026,0.000000,0.000000,46,11.176,0.000029,106.047164,35,21.952,0.000068,474.068933,31,0.112,0.000001,0.059326,34
4,10,0.033,0.000000,0.012004,43,-0.032,0.000001,0.020950,40,0.033,0.000000,0.000000,35,-0.022,0.000001,0.094779,84,-0.004,0.000001,0.031005,40
